Key,Command,Value
5018,,สเปล ซิงเกอร์
5019,,สเปล ฮาวเลอร์
5020,,ควอเรล วิซาร์ด
5021,,บิชอป
5022,,เอลเดอร์
5023,,ซิลเลียน เอลเดอร์
5024,,เสจ
10001,,C
10002,,B
10003,,A
10004,,S
10005,,R
10006,,SR
10007,,UR
10101,,C - B
10102,,C - A
10103,,C - S
10104,,C - R
10105,,C - SR
10106,,C - UR
10201,,B - A
10202,,B - S
10203,,B - R
10204,,B - SR
10205,,B - UR
10301,,A - S
10302,,A - R
10303,,A - SR
10304,,A - UR
10401,,S - R
10402,,S - SR
10403,,S - UR
10501,,R - SR
10502,,R - UR
10601,,SR - UR
80001,,"รูปแบบแสดงเวลา
{31d:5w:6p:12m:80001f}
วันที่ d, วัน w, เวลา a/p, นาที m
80001f = ฟอร์แมตสตริง + f (ตัวย่อฟอร์แมต)"
81001,,[24HH]:[mm] น.
81002,,[W] [24HH]:[mm] น.
81003,,[W]
81005,,[D]/[M]/[Y] [24HH]:[mm] น.
81006,,[W] [D]/[M] [24HH]:[mm] น.
81007,,[D]/[M]
81008,,[24HH]:[mm] น.
81009,,[D]/[M]/[Y] [24HH]:[mm] น.
81010,,[D]
81011,,[M]
81012,,[m] นาที
10000019,,บ่อน้ำฟื้นฟู
10000031,,หอคอยป้องกันฝั่งตะวันตกของทีมแดง
10000032,,หอคอยป้องกันฝั่งตะวันออกของทีมแดง
10000033,,หอคอยป้องกันสิ่งศักดิ์สิทธิ์ของทีมแดง
10000034,,หอคอยป้องกันฝั่งตะวันตกของทีมน้ำเงิน
10000035,,หอคอยป้องกันฝั่งตะวันออกของทีมน้ำเงิน
10000036,,หอคอยป้องกันสิ่งศักดิ์สิทธิ์ของทีมน้ำเงิน
10000043,,แก้ไขการเปลี่ยนคลาส
10000101,,ค่ายชิงปราสาทส่วนกลาง
10000102,,ค่ายชิงปราสาทฝั่งตะวันออก
10000103,,ค่ายชิงปราสาทฝั่งตะวันตก
10000104,,ประตูปราสาทรอบนอกส่วนกลาง
10000105,,ประตูปราสาทรอบนอกฝั่งตะวันออก
10000106,,ประตูปราสาทรอบนอกฝั่งตะวันตก
10000107,,หอคอยป้องกันประตูใหญ่ฝั่งซ้าย
10000108,,หอคอยป้องกันประตูใหญ่ฝั่งขวา
10000109,,หอคอยป้องกันประตูท้องพระโรงฝั่งซ้าย
10000110,,หอคอยป้องกันประตูท้องพระโรงฝั่งขวา
10000111,,หอคอยป้องกันประตูทิศตะวันตกฝั่งซ้าย
10000112,,หอคอยป้องกันประตูทิศตะวันตกฝั่งขวา
10000113,,หอคอยป้องกันประตูทิศตะวันออกฝั่งซ้าย
10000114,,หอคอยป้องกันประตูทิศตะวันออกฝั่งขวา
10000115,,หอคอยป้องกันประตูอัคคีฝั่งซ้าย
10000116,,หอคอยป้องกันประตูอัคคีฝั่งขวา
10000117,,หอคอยป้องกันประตูวารีฝั่งซ้าย
10000118,,หอคอยป้องกันประตูวารีฝั่งขวา
10000119,,หอคอยป้องกันประตูห้องเก็บสิ่งศักดิ์สิทธิ์ฝั่งซ้าย
10000120,,หอคอยป้องกันประตูห้องเก็บสิ่งศักดิ์สิทธิ์ฝั่งขวา
10000121,,หอคอยป้องกันสิ่งศักดิ์สิทธิ์ฝั่งซ้าย
10000122,,หอคอยป้องกันสิ่งศักดิ์สิทธิ์ฝั่งขวา
10000123,,กับดักด้านซ้าย
10000124,,กับดักด้านขวา
10000201,,รอยด์
10000203,,เจกี้
10000211,,คริสตัลเอกภาพ
10000301,,กรีน ลาเทล โรบัสต์
10000302,,ซิลเวอร์ ลาเทล โรบัสต์
10000303,,โกลด์ ลาเทล โรบัสต์
10000304,,แมนเดรก
10000305,,ผู้พิทักษ์อุทยาน
10001001,,ซูรีเกอร์
10003010,,สเตโนอา ราชินีแห่งกอร์กอน
10003033,,เคทรา ออร์ค หน่วยตรวจค้น
10003034,,เคทรา ออร์ค หัวหน้ากองร้อย
10003035,,เคทรา ออร์ค หัวหน้าหน่วยตรวจค้น
10003060,,โอลมาฮุม หัวหน้าทหาร
10003086,,ทานอร์ ซิลเลนอส หัวหน้าเผ่า
10003098,,ไทเฟอรอน
10003104,,ไวท์วูล์ฟ
10003105,,คูเกอร์ดุร้าย
10003121,,ดิสออร์เดอร์ วอริเออร์
10003122,,จอมบดขยี้ เคิร์กลิน
10003123,,หัวหน้าเผ่า ทูรามาเซีย
10003124,,ยามรักษาการณ์ เซลลอป
10003125,,ดราก้อน แฮชลิ่ง
10010000,,ฮาร์ดิน
10010001,,ธีโอดอร์
10010002,,สมายลี่
10010003,,แบมแบม
10010004,,นักผจญภัย
10010010,,รองหัวหน้ากองรักษาการณ์
10010012,,ชาวบ้าน
10010013,,ขุนนาง
10010052,,นักบวช
10010059,,อันธพาล
10010062,,สาวใช้
10010102,,ลูกเรือ
10010104,,ไอแซค
10010105,,พุชเก้
10010108,,นักเดินเรือ
10010109,,นักทำการค้า
10010110,,คนขายตั๋วเรือเส้นทางไปกลูดิโอ
10010111,,คนขายของร้านริมทาง
10010112,,กัปตันเรือเส้นทางไปกลูดิโอ
10010113,,ชาวบ้าน
10010114,,ไคเนส
10010115,,อานาอิส
10010117,,แดเนียล
10010118,,ไคเนล
10010119,,ครีอุส
10010121,,ราเคล
10010122,,เดอร์เคน
10010123,,ฟาวส์
10010124,,สมาชิกกองทหารรับจ้าง
10010125,,เฟนเซล
10010129,,เซริอาน่า
10010131,,อาซัน
10010132,,ฮาเซม
10010144,,เฮรอลด์
10010149,,ดักกลาส
10010150,,โคเดลเลีย
10010151,,เนีย
10010152,,นักเวทย์ปริศนา
10010153,,เฟอร์เนล
10010154,,เทพยดาแห่งการชำระล้าง
10010156,,อาแมน
10010157,,เพสก้า
10010158,,แพน
10010159,,แทร์
10010160,,เฮเลีย
10010161,,ทหารยามประจำหมู่บ้าน
10010162,,โครงกระดูก พลทหาร
10010163,,รัสเซล
10010164,,ออสติน
10010165,,อาร์เธอร์
10010166,,ยักษ์ใหญ่ อัลเบิร์ท
10010167,,ยูจิน
10010168,,เต๋า
10010169,,จูพี
10010170,,ออร์ค มือสังหาร
10010171,,ริโอ
10010175,,นักเวทย์ ไอน์โฮแวนต์
10010188,,สมิธ
10010190,,ออร์ค โจรลักพาตัว
10010191,,คณะนักขุดซากโบราณ
10010202,,นายตรวจตั๋ว
10010210,,อาร์โนลด์
10010215,,เซซิล
10010218,,คานาเรีย
10010221,,ฮันน่า
10010227,,แอนดี้
10010236,,เอตัน
10010301,,ลูกเรือผู้ชำนาญ คาลอฟ
10010302,,เดร็ด
10010304,,แพทตัน
10010305,,ทหารยามประตูทิศตะวันออก
10010307,,คาดอล
10010308,,ฟอร์ด
10010311,,เบอร์รี่
10010312,,ลูน่า
10010313,,อาเบล
10010315,,พีคัส
10010316,,ไคแมน
10010317,,คริสติน่า
10010318,,ไคเจล
10010319,,ไกรัน
10010320,,กาอุส
10010321,,ดิวเมล
10010322,,เพาสต์
10010323,,อารูแมน
10010325,,ทหารยามกลูดิน
10010326,,เนซิล
10010327,,กาลาเทีย
10010330,,เฮอร์บิน
10010331,,อาเธน่า
10010334,,อาเรน
10010335,,คริส
10010336,,เอริก้า
10010337,,ซีริก้า
10010338,,นอร์แมน
10010339,,รามอส
10010340,,วอลเตอร์
10010342,,สตีเฟ่น
10010344,,ฮาเมล
10010345,,อาเกล
10010346,,เฮลเลเนีย
10010348,,เอลเลโนอาร์
10010349,,จอมเวทมนตร์ดำ
10010350,,บารอน
10010352,,เอลอส
10010353,,แจ็คสัน
10010357,,ไอเมล
10010360,,โธมัส
10010361,,แอนดรู
10010362,,มาร์ติน
10010363,,พลทหารกลูดิน
10010364,,ชาร์ลส์
10010371,,สมาชิกกองปราบปรามโอลมาฮุม
10010374,,ชาวบ้านที่ถูกลักพาตัว
10010380,,บิลลี่
10010381,,ซอมบี้โจรสลัด
10010382,,โอลมาฮุม ทหารลาดตระเวน
10010383,,โอลมาฮุม โจรปล้นสะดม
10010387,,เนโร
10010388,,บาโร
10010389,,นิส
10010390,,ลาเวล
10010391,,พอร์ต
10010392,,แวน
10010393,,โบลท์
10010394,,ซารีน
10010396,,นักบวชแห่งไอน์ฮาซาร์ด
10010402,,กงสุลแห่งกลูดิโอ
10010404,,สมาชิกกองปราบปรามมอนสเตอร์
10010407,,พลทหารที่บาดเจ็บ
10010415,,แดโรนิส
10010416,,อิลิย่า
10010418,,มิริโอ
10010419,,ไมเซีย
10010420,,ออลเฟอุส
10010421,,คิริทอส
10010422,,อัสนาส
10010423,,เนบูลัส
10010424,,ทหารยามกลูดิโอ
10010426,,วอล
10010427,,เฮลิกซ์
10010428,,ไซมอน
10010429,,โซดาน
10010430,,คิลิอาน่า
10010431,,กาบี้
10010432,,คัชชู
10010438,,โฮเรน
10010440,,เมลิน่า
10010441,,ไดรเดน
10010442,,แคชฟอร์น
10010443,,โรเวนธัล
10010445,,เอริก
10010446,,เมลบอน
10010447,,เฮซอร์
10010448,,ฮัส
10010450,,ดราอูฟ
10010451,,คาริน
10010452,,พลทหารกลูดิโอ
10010456,,สมาชิกกองกำลัง
10010458,,เฟลมอส
10010461,,ทหารยามที่ถูกจับกุม
10010462,,อามอส
10010464,,สมาชิกกองเฝ้าระวังหมู่บ้าน
10010465,,สมาชิกกองกำลังฝั่งตะวันตก
10010466,,พลทหารที่รีบร้อน
10010467,,พลทหารในยามคับขัน
10010468,,อลิซาเบธ
10010470,,ทหารคุ้มกันของนายก
10010475,,โรน่า
10010487,,ฟาลแมน
10010488,,อลัน
10010490,,ฟอนเตอร์
10010491,,ฮามอน
10010493,,โดโรธี
10010494,,มิเชล
10010495,,เซียนาริงโก้
10010497,,น็อกซ์
10010501,,เชน
10010502,,เอมิล
10010503,,สมาคมแห่งความมืด
10010504,,ผู้บังคับบัญชาสมาพันธ์
10010507,,ทหารกองกำลัง
10010508,,แองจี้
10010509,,เรนไฮม์
10010510,,ชายผู้สูญเสียความทรงจำ
10010511,,คาร์เซ่
10010512,,กอร์ธ
10010513,,ไคล์
10010514,,ดูวัลเต้
10010516,,สมาชิกหน่วยค้นหา
10010517,,ไมล์
10010519,,ราทอส
10010522,,ออโรร่า
10010523,,ทหารหน่วยคุ้มกัน
10010525,,ทหารหน่วยจู่โจม
10010527,,หัวหน้าหน่วยจู่โจม
10010532,,ทหารกองหนุน
10010546,,เคกูน
10010547,,ทูเร็ค ออร์ค หน่วยจู่โจม
10010549,,ลีโอโพลด์
10010550,,วิกกี้
10010554,,โคลูม
10010577,,ชาวเมืองที่ถูกลักพาตัว
10010584,,อาร์เก้
10010588,,ดาเรี่ยน
10010589,,พุชทอล
10010602,,เอดิน่า
10010603,,เอมอน
10010604,,นักผจญภัยแห่งทิศตะวันตก
10010605,,ผู้เฒ่าที่ตื่นกลัว
10010606,,สตาริส
10010610,,มอนต้า
10010611,,ลูกน้องของสตาริส
10010613,,นักโหราศาสตร์ เทียน่า
10010614,,คนขายของ
10010621,,ผู้เฒ่าตายแล้วฟื้น
10010631,,สวอน
10010633,,วอยด์
10010634,,วอยด์ เดม่อน
10010635,,โอลมาฮุม หัวหน้าเผ่าขนแดง
10010646,,ชาร์ลี
10010647,,ทอม
10010648,,อาเรีย
10010649,,ปีเตอร์
10010680,,ทหารลาดตระเวนที่ถูกทำร้าย
10010684,,เซอิน
10010702,,เด็กหลงทาง
10010709,,คลาร์ก
10010714,,จูริโอ
10010715,,ราฟ
10010716,,ฮอว์ค
10010717,,ซาร่า
10010718,,กูส
10010719,,อัลฟ์
10010720,,มอริสัน
10010721,,โรดี้
10010722,,ลูเล่
10010724,,ทหารยามดิออน
10010725,,คาจิมู
10010726,,ฮีลี่
10010730,,เกลด์
10010732,,มาริน่า
10010737,,มาฮาร์ท
10010738,,สมาชิกกองกำลัง
10010739,,บาเซน
10010740,,มิเก้
10010741,,ทหารกองกำลัง
10010742,,ฟาวิล
10010743,,ธาโน่
10010744,,เลอา
10010745,,นอร่า
10010746,,นักเวทย์ จาฟ
10010750,,พลทหารที่บาดเจ็บ
10010753,,บาซิเลอุส
10010754,,ชาวบ้านที่ถูกช่วยไว้
10010755,,พลทหารคุ้มกัน
10010768,,เทอรอน
10010770,,ฟาเบล
10010772,,มาร์ชแลง
10010774,,อัลเบอร์โต
10010775,,เมอร์ลิน
10010776,,อันเชลโลติ
10010777,,เซย์รา
10010779,,ลูคัส
10010780,,โทนี่
10010784,,โมกอส
10010785,,แบรก้า จอมทำลายล้าง
10010786,,แบรก้า พลธนูยักษ์
10010802,,แรริส
10010807,,นักวิจัย
10010811,,สมาชิกทหารยาม รีกูส
10010812,,โอเดน
10010813,,บรุน
10010814,,สมาชิกทหารยาม แพด
10010819,,นักบวชระดับสูง
10010822,,ยามเฝ้าหนองน้ำ
10010823,,เอลลี่
10010828,,มีเทร์
10010837,,แพนที่ถูกทำร้าย
10010838,,ฮานส์
10010839,,สมาชิกทหารยาม
10010842,,ฮอริส
10010850,,คาร์เมน
10010854,,อาซีร์
10010858,,เมกาเน่
10010859,,เพนเต้
10010860,,มากิคอส
10010862,,สตาคาโต้น้อย
10010902,,เบค
10010906,,ดูร์เซล
10010915,,บอริส
10010925,,กรอมเวล
10010926,,รูออง
10010927,,แอชลีย์
10010930,,บาทูม
10010932,,องครักษ์ของหัวหน้าเผ่า
10010933,,อัลดาร์
10010934,,แคนคูน
10010935,,จังโด
10010936,,จาวาร์
10011003,,บาลู
10011004,,บัลเธอร์
10011005,,ไดอาบลอส
10011010,,คนขายของที่บาดเจ็บ
10011011,,กิโยติน
10011014,,มาเนีย
10011016,,องครักษ์หลวงแห่งความทุกข์ระทม
10011018,,ดิมสเดล
10011019,,ยูเมรี่
10011022,,เนวิล
10011026,,เอโนล
10011031,,คาวบอย
10011102,,กีรัน หัวหน้าทหารยาม
10011103,,ราชินีเลือด
10011105,,ผู้อาวุโสประจำหมู่บ้าน
10011107,,นักพฤกษศาสตร์
10011108,,ออวิน
10011109,,มาเอล
10011110,,อาริโนอา
10011114,,มิวส์
10011115,,ไมล์ตี้
10011116,,แชนนอน
10011117,,ราเอล
10011118,,ลูคิออส
10011119,,ทหารยามแห่งกีรัน
10011120,,โครวิส
10011121,,การ์เวน
10011122,,โครวอล
10011123,,บัสเตอร์
10011124,,แมดรัม
10011125,,อาร์ทิมิส
10011129,,อลิซ
10011132,,เบฮิน
10011136,,รันเฟลด์
10011140,,บีซูนัว
10011155,,เมลดอร์น
10011159,,สหายของเบฮิน
10011165,,อินนาดริล นายก
10011167,,ผู้ติดตามของนายก
10011168,,คนแบกหามของนายก
10011178,,เซอร์ โอเวน
10011180,,คริสเตียน
10011186,,การ์ดเนอร์
10011187,,ไจด์
10011188,,รอยซ์
10011189,,ฌอง
10011190,,อิงแฮม
10011191,,พอล
10011192,,แมกนาฮาน
10011194,,ธอด
10011195,,รันโช
10011206,,คนขายของที่ถูกแยกตัว
10011208,,คนขายของแห่งทิศตะวันออก
10011210,,อาร์เจน
10011214,,อาน่า
10011222,,ฮิว
10011224,,แมคเบน
10011225,,ฟอลต์
10011226,,เชา
10011227,,อูน่า
10011228,,เพจ
10011229,,เมลิซา
10011240,,โฟบอส
10011241,,ไรร์
10011244,,คาร์เทส
10011245,,ทหารองครักษ์ของไรร์
10011249,,เอเดน
10011251,,เฟร็ดดริก
10011255,,โนซิส
10011257,,เบนจามิน
10011265,,โบแต็ง
10011266,,จอร์จ
10011268,,ฟาลลอน
10011270,,รูเบนส์
10011271,,เจอิน
10011305,,ทหารยามประตูทิศตะวันตก
10011317,,เบล็อต
10011324,,หน่วยลาดตระเวนของจาเคน
10011325,,เรย์ลี่
10011327,,คีเรี่ยน
10011350,,ผู้ปฏิบัติการ
10011352,,ร่างหลอนของจาเคน
10011354,,ผู้เก็บเกี่ยววิญญาณ
10011356,,นิกซ์
10011358,,ออสโต้
10011363,,ดิชชี่
10011364,,ทัค
10011367,,ทหารยามที่ถูกควบคุม
10011369,,ปีศาจบรรพกาล
10011404,,ปูติน
10011406,,ฮวน
10011407,,นักล่า
10011410,,เจน
10011411,,เคเรนิส
10011412,,คาร่า
10011413,,นาตาลี
10011415,,อดัมส์
10011417,,แบรก้าหุบเขา ผู้บังคับการ
10011418,,นักเวทย์
10011420,,แพนที่กำลังถูกจัดการ
10011421,,เลอเวน
10011426,,เบเรมุส
10011427,,ราชาเลือด
10011429,,เซลีน
10011430,,เบเรน
10011432,,ภิล
10011433,,ลอเรนซ์
10011434,,คุชเชอร์
10011439,,นีซอร์ซ
10011451,,แบรก้าหุบเขา กองกำลังองครักษ์
10011452,,แบรก้าหุบเขา ทหารหัวกะทิ
10011453,,ผู้ติดตามของคนทรงเทพ
10011454,,คนแบกหามของคนทรงเทพ 
10011455,,เคเนล
10011456,,คริมสัน ไบนด์
10011473,,หน่วยลาดตระเวน
10011477,,ฮาร์แมน
10011501,,วาร์
10011502,,ซูร์มิน
10011504,,ทานอร์คลั่ง คนส่งสาร
10011505,,ทานอร์คลั่ง หัวหน้าเผ่า
10011507,,ทานอร์คลั่ง ทหารคุ้มกัน
10011511,,รามอน
10011512,,ดูออล
10011513,,ไอด้า
10011514,,เซริออส
10011515,,ริวแนน
10011516,,โรว์
10011517,,เกลล์
10011518,,อาร์คแดม
10011519,,ไรอัส
10011520,,โบอาร์ด
10011526,,มามอน
10011533,,หัวหน้าทหารยาม
10011601,,คาเรน
10011603,,มอลลี่
10011606,,ผู้ดูแลหอคอยงาช้าง
10011703,,ทหารกองกำลังโอเรน
10011704,,โอเรน หัวหน้าหน่วยกวาดล้าง
10011707,,นักเวทย์แห่งหอคอยงาช้าง
10011711,,ยามตรวจตรา
10011713,,สมาชิกกองกำลัง แดน
10011714,,ชิ้นส่วนวิญญาณของมอลลี่
10011801,,คนขายของชำแห่งหุบเขามังกร
10020101,,ค้างคาวดูดเลือดในท้องทุ่ง
10020102,,มนุษย์หมาป่า
10020103,,แอนทิโลปในท้องทุ่ง
10020104,,หมีน้ำตาล
10020105,,หมาป่าสีดำ
10020106,,แมงมุมเหล็ก
10020107,,แมงมุมเหล็กยักษ์
10020108,,ออร์ค ทหารจู่โจม
10020109,,ออร์ค ทหารยิงธนู
10020111,,ออร์ค ทหารลาดตระเวน
10020112,,ไข่แมงมุม
10020117,,มนุษย์หมาป่าแห่งแดนร้าง
10020118,,หมีน้ำตาลแห่งทุ่งหญ้า
10020121,,ค้างคาวแห่งทุ่งหญ้า
10020123,,ออร์ค ทหารยาม
10020125,,หมีกริซลี่
10020126,,ออร์ค ทหารฝึกหัด
10020127,,แมงมุมแห่งแดนร้าง
10020141,,ออร์ค ผู้ควบคุม
10020144,,ออร์ค ทหารคุ้มกัน
10020148,,ฟังกัส
10020149,,เฟรโมสันโดษ
10020181,,แบล็คทีธ
10020182,,ซิลเวอร์ฮอร์น
10020183,,ควีนซีโลป
10020184,,อูร์ก้า
10020185,,โควาก้า
10020201,,จิ้งจอกขนแดง
10020202,,ดีคอร์ป่า
10020204,,ออร์ค กรรมกร
10020206,,ออร์ค นักรบ
10020207,,สโตนโกเลม
10020213,,ออร์คลาดตระเวนหัวกะทิ
10020214,,ดีคอร์หนามป่า
10020219,,จิ้งจอกขนแดงที่หิวโซ
10020220,,ออร์ค ทหารรักษาการณ์
10020224,,ออร์ค จ่าฝูง
10020228,,สโตนโกเลมที่เสื่อมโทรม
10020236,,ผู้นำทหารองครักษ์
10020237,,ผู้นำทหารคุ้มกัน
10020244,,โกเลมที่แข็งแกร่ง
10020257,,มนุษย์หมาป่าแห่งโบราณสถาน
10020258,,ริปเปอร์
10020281,,สติง
10020282,,เรด รูจ
10020283,,ทาก้า
10020284,,คิง เบน
10020298,,ผู้ชี้นำวิญญาณ
10020302,,คูเกอร์ดุร้ายแห่งทุ่งกว้าง
10020303,,โอลมาฮุม สายลับ
10020304,,โอลมาฮุม นักรบ
10020306,,โอลมาฮุม นักรบขวาน
10020307,,วีฟเวอร์
10020308,,บั๊กแบร์
10020311,,ค้างคาวสุสาน
10020313,,โอลมาฮุม ทหารรักษาการณ์
10020314,,โอลมาฮุม นายทหาร
10020320,,โอลมาฮุม ทหารยาม
10020321,,ทหารยามปล้นสะดม
10020331,,โอลมาฮุม ผู้ควบคุม
10020332,,โอลมาฮุม โจร
10020333,,โอลมาฮุม นักสู้
10020334,,โครงกระดูก พลทหารอาฆาต
10020336,,ค้างคาวดูดเลือดแห่งสุสาน
10020337,,โอลมาฮุม นักแม่นธนู
10020341,,มนุษย์หมาป่าคลุ้มคลั่ง
10020343,,คูเกอร์แห่งทุ่งกว้าง
10020357,,ทูเร็ค ออร์ค ทหารลาดตระเวน
10020362,,โครงกระดูก พลทหารใต้ดิน
10020363,,ริปเปอร์ เฉด
10020372,,โอลมาฮุม แชมเปี้ยน
10020374,,ทูมูร์
10020378,,สัตว์ทดลอง บั๊กแบร์
10020379,,สัตว์ทดลอง กรังดีส
10020380,,การ์กอยล์ สโตน
10020381,,เคไนน์
10020382,,เฟรกี้
10020383,,เมลวิลล์
10020384,,มอร์เรตี้
10020385,,ออลวาร์
10020386,,อัลล์
10020398,,โซดิแอก
10020401,,หมาป่าสีดำที่หิวโซ
10020403,,บั๊กแบร์ โจรปล้นสะดม
10020404,,เมล ลิซาร์ดแมน ผู้คุกคาม
10020406,,หมาป่าสีดำที่วิกลจริต
10020408,,เมล ลิซาร์ดแมน ทหารจู่โจม
10020409,,เมล ลิซาร์ดแมน ทหารแม่นธนู
10020411,,ดวงตาอสุรกาย ผู้เฝ้ามอง
10020412,,ทูเร็ค ออร์ค พลซุ่มยิง
10020413,,ทูเร็ค ออร์ค ทหารสอดแนม
10020414,,ทูเร็ค ออร์ค นักรบ
10020416,,แอนทิโลป
10020419,,บั๊กแบร์ โจรถ่อย
10020424,,เมล ลิซาร์ดแมน ทหารรักษาการณ์
10020425,,เมล ลิซาร์ดแมน ทหารปล้นสะดม
10020426,,เมล ลิซาร์ดแมน ทหารบุกตะลุย
10020432,,เมล ลิซาร์ดแมน ทหารยาม
10020434,,เมล ลิซาร์ดแมน ยามเฝ้าประตู
10020441,,ออร์ค หอสังเกตการณ์
10020443,,ทูเร็ค ออร์ค จ่าฝูง
10020444,,ทูเร็ค สุนัขทหาร
10020447,,เมลลิซาร์ดแมน ผู้ติดตามเป้าหมาย
10020458,,หมาป่าสีดำที่คลุ้มคลั่ง
10020461,,บั๊กแบร์ มือสังหาร
10020462,,ทูลลัน บั๊กแบร์
10020464,,ดาร์คพรีมา
10020465,,ดาร์คเนร์คัส
10020470,,ทูเร็คออร์ค ช่างตีเหล็ก
10020471,,คีริออส
10020481,,บิ๊กแฮนด์
10020482,,ดูมเฟซ
10020483,,ค็อกทูส
10020484,,โคทูส
10020485,,ค็อกส์
10020498,,เคราเงิน
10020501,,มนุษย์หมาป่าที่ชั่วร้าย
10020502,,โครงกระดูก นักรบ
10020503,,โครงกระดูก มือยิง
10020507,,โอลมาฮุม กองหน้า
10020508,,โอลมาฮุม ทหารตรวจค้น
10020514,,แมงมุมพิษ
10020516,,หมีแห่งกลูดิโอ
10020517,,ทูเร็ค ออร์ค ทหารยาม
10020518,,ศาสตราวุธจักรกลยักษ์
10020519,,ทูเร็ค ออร์ค ทหารยามแท่นบูชา
10020520,,ทูเร็ค ออร์ค หัวหน้านายสิบ
10020521,,ทูเร็ค ออร์ค หัวกะทิ
10020532,,หมาล่าเนื้อมนุษย์ที่หิวโซ
10020534,,พรีมาแห่งความแค้น
10020535,,ทหารยามต้อนรับ
10020536,,คูเกอร์บ้าดีเดือด
10020537,,หินวิญญาณ
10020539,,ทูเร็ค หัวหน้าหน่วยรักษาการณ์
10020540,,ทูเร็ค หัวหน้าหน่วยจู่โจม
10020541,,ทูเร็ค หัวหน้าหน่วยลาดตระเวน
10020542,,ทูเร็ค หัวหน้าหน่วยอารักขา
10020544,,โอลมาฮุม หัวขโมยคริสตัล
10020545,,นักล่าที่ถูกสาป
10020550,,สัตว์ทดลอง ตัวไร้ลักษณ์
10020551,,หม้อเหล็ก
10020555,,ทูเร็คออร์ค ทหารยิงธนู
10020581,,แชโดว์วิงก์
10020582,,รูน แวนเดอเรอร์
10020583,,ชายนิ่งทีธ
