Id,Value
1110,shiting
1111,shitings
1112,shits
1113,shitted
1114,shitter
1115,shitters
1116,shitting
1117,shittings
1118,shitty
1119,shity
1120,shitz
1121,shiz
1122,shiznit
1123,shizzle
1124,shlong
1125,shmegma
1126,shortbus
1127,shyt
1128,shyte
1129,shytty
1130,shyty
1131,SIBALNYUN
1132,Si -Welle
1133,skanck
1134,skank
1135,skankee
1136,skankey
1137,skanks
1138,skanky
1139,skeet
1140,skeetskeet
1141,skinbat
1142,skunkweed
1143,slamhound
1144,slut
1145,slutmuffin
1146,sluts
1147,slutty
1148,slutz
1149,smegma
1150,Socket Face
1151,sodomi
1152,sodomize
1153,sodomy
1154,son-of-a-bitch
1155,SORASEX
1156,SOSSEX
1157,spanishfly
1158,speculum
1159,sperm
1160,sphencter
1161,sphincter
1162,spick
1163,spics
1164,spierdalaj
1165,sploog
1166,splooge
1167,spluge
1168,spreadeagle
1169,spreadmylegs
1170,Squrtin
1171,Squrtn
1172,SqurtnWeasel
1173,SRILANKASEX
1174,stfu
1175,stiffy
1176,strapon
1177,stripper
1178,sudaca
1179,suicide
1180,sukkitdown
1181,suppuku
1182,swastika
1183,swiftnuggs
1184,swingers
1185,SYLIVASAINT
1186,sylviasaint
1187,t!ts
1188,t1t
1189,t1tt1e5
1190,t1tties
1191,Tacoeater
1192,"Tacoeater "
1193,Tacomuncher
1194,TacoN!ggah
1195,tampon
1196,tardpopsicle
1197,teabagging
1198,teets
1199,Teety
1200,Teetybear
1201,Teetymunch
1202,testical
1203,testicle
1204,testicle*
1205,thickbush
1206,throbknobbin
1207,thsale
1208,thunderfuck
1209,Tiddy
1210,tinytits
1211,tirdburglar
1212,titfuck
1213,titnass
1214,tits
1215,titsnass
1216,titt
1217,titt*
1218,tittenmaus
1219,tittie
1220,tittie5
1221,tittiefucker
1222,titties
1223,titty
1224,Tittybear
1225,tittyfuck
1226,tittywank
1227,titwank
1228,tokyorose
1229,tonyzerega
1230,tossalad
1231,tossingsalad
1232,tosssalad
1233,Towel Head
1234,towelhead
1235,trannie
1236,tranny
1237,transexual
1238,transsexual
1239,transvestite
1240,TrufButLer
1241,Trufflebuter
1242,Trufflebutter
1243,TruffleBUTTerr
1244,TruffleBuutter
1245,turbanhead
1246,turdburglars
1247,turdsplat
1248,tw4t
1249,twathead
1250,twatlick
1251,twats
1252,twatsuck
1253,twatty
1254,twaty
1255,uglynig
1256,Uncle Fucker
1257,updabut
1258,upmybutthole
1259,urethra
1260,urinat
1261,urmama
1262,urmom
1263,v14gra
1264,v1gra
1265,va1jina
1266,vag1na
1267,vagiina
1268,vagimampf
1269,vagina
1270,VAGINAL
1271,vaj1na
1272,vajayjay
1273,vajina
1274,vanginus
1275,vasect
1276,venereal
1277,veronicahart
1278,viagra
1279,vibrator
1280,vullva
1281,vulva
1282,w00se
1283,w0p
1284,w3tb4ck
1285,w4nk
1286,wangmaster
1287,wank
1288,wanker
1289,wankoff
1290,wanky
1291,warslut
1292,WEBXXX
1293,Wee Wee
1294,welfarmonkey
1295,wetback
1296,wetback*
1297,wetdream
1298,wetmunch
1299,wetmunch!
1300,wetmuncher
1301,wh00r
1302,wh0re
1303,whackoff
1304,whackyiraqi
1305,whoar
1306,whore
1307,whosurdaddy
1308,wifebeater
1309,wigger
1310,winnipuuh
1311,WONJOSEX
1312,WORLDSEX
1313,wtf
1314,WWW
1315,www_
1316,wyfebeater
1317,xrated
1318,xxx
1319,Yaoi
1320,yaoiking
1321,yaoiqueen
1322,youranus
1323,yuckfou
1324,yuckfu
1325,z4b0urah
1326,z4bourah
1327,zabourah
1328,zoophilia
1329,zuhälter
1330,zwergpimmel
