# unique_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# Source: Words.datc64 Wordlist 6 (all PoE2 unique names)
# columns: unique_name	gold_price
Axiom Perpetuum	
Badge of the Brotherhood	
Balefire	
Band of the Victor	
Bartek's Finger	
Bated Breath	
Battlehaste	
Beacon of Azis	11129
Beacon of Madness	
Bear's Girdle	
Beetlebite	25950
Beira's Anguish	11286
Belly of the Beast	22729
Belt of the Deceiver	
Beltimber Blade	
Benedictus Domini	0
Berek's Grip	0
Berek's Pass	0
Berek's Respite	0
Beyond Reach	28414
Bijouborne	24542
Bino's Kitchen Knife	
Birth of Fury	11365
Birthright Buckle	9954
Bisco's Collar	
Bisco's Leash	
Bitterbind Point	
Bitterbloom	9348
Bitterdream	
Black Sun Crest	10094
Black Vise	0
Black Zenith	
BlackGuardz	
Blackbraid	18567
Blackflame	10379
Blackgleam	9546
Blackheart	9091
Blasphemer's Grasp	
Blessed Bonds	30281
Blightwell	
Blistering Bond	9546
Blood Price	25770
Blood Sacrifice	
Blood of Corruption	
Blood of Summer	
Blood of the Warrior	11933
Bloodbarrier	20188
Bloodboil	
Bloodbond	
Bloodgrip	
Bloodletter	
Bloodnotch	
Bloodplay	
Bloodseeker	
Bloodsoaked Medallion	
Blueflame Bracers	11365
Bluetongue	9091
Blunderbore	
Bones of Ullr	20188
Book Stand Strongbox	
Booming Populace	
Boreal Shepherd	
Borrowed Power	
Bottled Faith	
Boundless Grasp	
Brain Rattler	20188
Bramblejack	9091
Bramblesiege	0
Brawn	
Breach Box	
Breath of the Council	
Breath of the Mountains	9348
Breathstealer	
Briarpatch	9748
Brightbeak	
Brinerot Cache	
Brinerot Flag	
Brinerot Mark	
Brinerot Whalers	
Briskwrap	10525
Bristleboar	9091
Brittle Barrier	
Broadstroke	
Broken Faith	0
Bronn's Lithe	
Bronzebeard	9680
Brutal Restraint	
Brute Force Solution	
Brutus' Lead Sprinkler	
Brynabas	19908
Brynhand's Mark	9091
Bubonic Trail	
Bulwark Legion	
Bursting Decay	41160
Bushwhack	11365
Cadigan's Crown	
Cadiro's Gambit	42919
Caer Blaidd, Wolfpack's Den	
Cagan's Map	
Calamitous Visions	
Calgyra's Arc	12975
Call of the Brotherhood	11286
Call of the Void	
Callinellus Malleus	
Cameria's Avarice	
Cameria's Maul	
Candlemaker	19632
Cane of Unravelling	
Cannibalistic Habits	
Cannot Die	0
Carcass Jack	0
Careful Planning	
Carl's Crusher	
Carnage Heart	22571
Carrion Call	10094
Cat O' Nine Tails	0
Ceaseless Feast	
Ceinture of Benevolence	
Celestial Fragment	
Cerberus Limb	
Chaber Cairn	
Chain of Endurance	
Chains of Command	0
Chains of Emancipation	
Chains of Time	
Chainsting	9680
Chalice of Horrors	0
Cheap Construction	
Chernobog's Pillar	28414
Cherrubim's Maleficence	
Child of Violence	
Chill of Corruption	
Chin Sol	
Chitus' Apex	
Chitus' Needle	
Chober Chaber	11365
Choir of the Storm	19092
Choking Ash	
Cinderswallow Urn	
Circle of Anguish	
Circle of Fear	
Circle of Guilt	
Circle of Nostalgia	
Circle of Protection	0
Circle of Regret	
Clayshaper	
Clear Mind	
Clear Skies	14207
Cloak of Defiance	28414
Cloak of Flame	21050
Cloak of Tawm'r Isley	
Coat of Red	9091
Coated Shrapnel	
Cold Iron Point	
Cold Steel	
Collapsing Horizon	42621
Collateral Damage	
Combat Focus	
Combustibles	
Command of the Pit	
Conqueror's Efficiency	
Conqueror's Longevity	
Conqueror's Potency	
Constricting Command	23536
Contract: Breaking the Unbreakable	0
Contract: Death to Darnaw	0
Contract: Heart of Glory	0
Contract: Jamanra's Rest	0
Contract: The Slaver King	0
Contract: The Twins	0
Controlled Metamorphosis	31138
Convent of the Twins' Flame	
Coralito's Signature	
Cornathaum	34094
Corona Solaris	
Corona of the Red Sun	11605
Corpsewade	9748
Corpsewalker	
Corrupted Energy	
Cortex	
Coruscating Elixir	
Cosmic Relic	
Cospri's Malice	
Cospri's Will	30044
Couture of Crimson	25950
Coward's Chains	
Coward's Legacy	11933
Cowl of the Ceraunophile	
Cowl of the Cryophile	
Cowl of the Thermophile	
Cracklecreep	9546
Cragfall	
Craghead	
Craiceann's Carapace	
Craiceann's Chitin	
Craiceann's Pincers	
Craiceann's Tracks	
Crest of Ardura	10975
Crest of Desire	
Crest of Perandus	
Crown of Eyes	24714
Crown of Thorns	9091
Crown of the Inward Eye	
Crown of the Pale King	10094
Crown of the Tyrant	
Crown of the Victor	18696
Cruel Hegemony	14207
Crystal Vault	
Crystallised Omniscience	
Cursecarver	11365
Curtain Call	
Cybil's Paw	
Cyclopean Coil	
Daevata's Wind	10452
Dance of the Offered	
Daresso's Courage	
Daresso's Defiance	0
Daresso's Passion	
Daresso's Salute	
Darkness Enthroned	41738
Darkray Vectors	20188
Darkscorn	
Dawnbreaker	
Dawnstrider	
De-Playerification	0
Dead Reckoning	
Deadly Fate	
Deadman's Hand	
Death Articulated	42621
Death Rattle	
Death Rush	10823
Death and Taxes	
Death's Door	0
Death's Hand	0
Death's Harp	21950
Death's Oath	0
Death's Opus	
Deathblow	22729
Deathrattle	9091
Debeon's Dirge	
Decaying Relic	
Deerstalker	0
Defiance of Destiny	40307
Deidbell	11365
Deidbellow	
Demigod's Authority	
Demigod's Beacon	
Demigod's Bounty	
Demigod's Dominance	
Demigod's Duty	27273
Demigod's Eye	
Demigod's Fortitude	27273
Demigod's Immortality 	
Demigod's Judgement	27273
Demigod's Loyalty	27273
Demigod's Presence	
Demigod's Stride	
Demigod's Touch	
Demigod's Triumph	
Demigod's Valor	27273
Demigod's Virtue	27273
Demon Stitcher	11365
Demon's Lantern	0
Dendrobate	
Depthcharge	0
Deshret's Storm	
Deshret's Vise	
Devoto's Devotion	0
Dewath's Hide	
Dialla's Malefaction	
Dionadair	9091
Disintegrator	
Disjunction	
Dissolution of the Flesh	
Divide and Conquer	
Divinarius	
Divination Distillate	
Divine Inferno	
Doedre's Damning	18182
Doedre's Elixir	
Doedre's Malevolence	
Doedre's Scorn	
Doedre's Skin	
Doedre's Tenure	10094
Doedre's Tongue	
Doomfletch	31576
Doomfletch's Prism	
Doomgate	9816
Doomsower	
Doon Cuebiyari	
Doppelgänger Guise	
Doryani's Catalyst	
Doryani's Delusion	
Doryani's Invitation	
Doryani's Machinarium	
Doryani's Prototype	23372
Double Vision	10379
DrTestapus' Charm	0
Dreadarc	
Dreadbeak	
Dreadfist	10899
Dreadsurge	
Dream Fragments	29448
Dreamfeather	
Drillneck	39749
Dunkelhalt	9091
Dusk Vigil	9091
Duskblight	
Duskdawn	
Dusktoe	
Duskwing	
Dustbloom	10823
Dyadian Dawn	
Dyadus	
Dying Breath	
Dying Sun	
Earendel's Embrace	
Earthbound	9155
Eber's Unification	
Echoes of Creation	0
Echoforge	
Eclipse Solaris	
Edge of Madness	
Edyrn's Tusks	9748
Efficient Training	
Effigy of Cruelty	19360
El'Abin's Visage	
Eldritch Knowledge	
Elegant Hubris	
Elemental Weapon	
Elevore	11365
Elixir of the Unbroken Circle	
Emberwake	0
Emperor's Cunning	
Emperor's Mastery	
Emperor's Might	
Emperor's Wit	
Emperor’s Vigilance	
Empire's Grasp	12975
Empyrean Apparatus	
Endless Misery	
Energised Armour	
Energy From Within	
Enezun's Charge	10094
Enfolding Dawn	9091
Entropic Devastation	
Ephemeral Edge	
Erian's Cobble	9748
Ervig's Cane	
Escalation	
Esh's Mirror	
Esh's Visage	0
Essence Worm	
Essentia Sanguis	38926
Eternal Damnation	
Evergrasping Ring	11286
Ewar's Mirage	
Expedition's End	
Extractor Mentis	
Eye of Chayula	23049
Eye of Innocence	
Eye of Malice	
Eyes of the Greatwolf	
Ezomyte Hold	
Ezomyte Peak	9816
Facebreaker	0
Fairgraves' Bearing	
Fairgraves' Curse	12357
Fairgraves' Tricorne	
Faithguard	
Falling Snow	0
Faminebind	
Farrul's Bite	
Farrul's Chase	
Farrul's Fur	
Farrul's Pounce	
Farsight	
Fate of the Vaal	
Fated End	
Fear of the Embrace	0
Feastbind	
Feathered Fortress	10823
Felltooth	
Femurs of the Saints	
Fencoil	
Fenumus' Shroud	
Fenumus' Spinnerets	
Fenumus' Toxins	
Fenumus' Weave	
Fertile Mind	
Fevered Mind	
Fidelio	0
Fidelitas' Spike	
Fight for Survival	
Fireborn	
Fireflower	25950
Firesong	
First Piece of Arcane	
First Piece of Brutality	
First Piece of Directions	
First Piece of Focus	
First Piece of Storms	
First Piece of Time	
First Snow	
Fixation of Yix	21496
Flamesight	
Flesh Crucible	31138
Flesh and Spirit	
Flesh-Eater	
Fleshcrafter	
Fluid Motion	
Font of Power	10094
Font of Thunder	
For Utopia	28638
Forbidden Flame	
Forbidden Flesh	
Forbidden Gaze	21646
Forbidden Shako	
Forbidden Taste	
Forgotten By Time	14207
Forgotten Relic	
Forsaken Bangle	23867
Fortress Covenant	
Fourth Piece of Focus	
Fox's Fortune	
Foxshade	9283
Fractal Thoughts	
Fragile Bloom	
Fragility	
Fragment of Eternity	
Freedom of Faith	14207
From Dust	
From Nothing	31138
Frost Unbroken	
Frostbreath	9680
Frostferno	
Frozen Trail	
Fury Valve	
Fury of the King	44753
Galesight	
Galla's Riposte	
Gamblesprint	10094
Gang's Momentum	
Garb of the Ephemeral	
Garuk's Current	
Garukhan's Flight	
Geofri's Baptism	
Geofri's Crest	
Geofri's Devotion	
Geofri's Legacy	
Geofri's Sanctuary	0
Ghostmarch	20188
Ghostwrithe	18182
Giantsbane	
Gifts from Above	11524
Glimpse of Chaos	22729
Glitterdisc	
Gloamgown	12357
Gloomfang	
Gloomform	9748
Glorious Vanity	
Glowswarm	9091
Gluttony	
Goblinedge	
Golden Atonement	0
Goldrim	19360
Goldshaper	0
Goldwyrm	0
Gorebreaker	
Goredrill	
Goregirdle	21496
Gorgon's Gaze	
Grand Spectrum	31138
Grandmaster's Arcanist Cache	
Grandmaster's Cartography Cache	
Grandmaster's Corrupted Cache	
Grandmaster's Gemcutting Cache	
Grandmaster's Large Cache	
Grandmaster's Ornate Cache	
Grandmaster's Treasury	
Grandmaster's Trove	
Gravebind	18696
Graven's Secret	
Gravis Grimace	0
Great Old One's Tentacles	
Great Old One's Ward	
Great Serpent's Bane	0
Greed's Embrace	23372
Greedtrap	
Grelwood Shank	
Greymake	18696
Grimgrasp	0
Grip of Kulemak	27273
Grip of Winter	9748
Grip of the Council	
Growing Agony	
Gruthkul's Pelt	
Guiding Palm	0
Guiding Palm of the Eye	42621
Guiding Palm of the Heart	42621
Guiding Palm of the Mind	42621
Haemophilia	
Hair Trigger	
Hale Negator	
Hall of Grandmasters	
Hallowed Ground	
Hammerhead	0
Hand of Thought and Motion	
Hand of Wisdom and Action	34094
Hand of the Fervent	
Hands of the High Templar	0
Hateforge	34094
Hazardous Research	
Headhunter	38386
Healthy Mind	
Heart of the Well	31138
Heartbound Loop	11286
Heartbreaker	
Heartseeker	0
Heatshiver	25950
Hegemony's Era	
Hellbringer	
Herald of Wraeclast	0
Heretic's Veil	0
Heroic Tragedy	31138
Hezmana's Bloodlust	
Hidden Potential	
Highborn Lowlander	0
Hiltless	
Hinekora's Sight	24542
Hoghunt	9091
Honourhold	
Honourhome	
Hopeshredder	
Horns of Bynden	9091
Hotfooted	
Hrimburn	
Hrimnor's Dirge	
Hrimnor's Hymn	18567
Hrimnor's Resolve	
Hrimsorrow	
Hungry Abyss	
Husk of Dreams	10975
Hyaon's Fury	
Hyperboreus	
Hyrri's Bite	
Hyrri's Demise	
Hyrri's Ire	45067
Hyrri's Truth	
Hysseg's Claw	10094
INCOMPLETE	0
Icefang Orbit	11605
Icetomb	10094
Ichimonji	
Idle Hands	10975
Idol of Uldurn	21346
Igniferis	9091
Ignominious Fate	
Immortal Flesh	
Immutable Force	
Impossible Escape	
Impresence	
Incandescent Heart	
Indigon	42621
Inertia	
Inevitability	
Inextricable Fate	
Infernal Mantle	
Infernoclasp	21496
Infractem	
Infused Beachhead	
Ingenuity	26499
Innsbury Edge	
Innsmouth	9091
Inpulsa's Broken Heart	
Insomnia	
Inspired Learning	
Intuitive Leap	
Invictus Solaris	
Inya's Epiphany	
Iron Commander	
Iron Heart	
Ironbound	0
Irongrasp	10094
Ironride	20188
Ironweld	
Irresistable Temptation	
Ixchel's Torment	
Izaro's Dilemma	
Izaro's Turmoil	
Jack, The Axe	
Jarngreipr	9414
Jaws of Agony	
Jorrhast's Blacksteel	
Kalandra's Touch	34573
Kalisa's Grace	
Kaltenhalt	10525
Kaltensoul	
Kaom's Cache	
Kaom's Heart	43522
Kaom's Primacy	
Kaom's Roots	0
Kaom's Sign	
Kaom's Spirit	
Kaom's Way	
Karui Charge	
Karui Ward	
Keelhaul	9091
Keeper of the Arc	24714
Kiara's Determination	
Kikazaru	
Killjoy	20188
Kiloava's Bluster	0
Kingmaker	
Kingsguard	11365
Kintsugi	
Kitava's Feast	
Kitava's Teachings	
Kitava's Thirst	
Kitoko's Current	10823
Kondo's Pride	
Kongming's Stratagem	
Kongor's Undying Rage	
Kurgal's Gaze	
Lakishu's Blade	
Last Resort	
Lavianga's Spirits	23867
Lavianga's Wisdom	
Law of the Wilds	
Lawbreaker	
Le Heup of All	
Leadership’s Price	
Leash of Oblation	
Leer Cast	10094
Legacy Relic	
Legacy of Fury	
Legionstride	9091
Leopold's Applause	38926
Leper's Alms	
Lethal Pride	
Leviathan Ivory	
Levinstone	20188
Lifesprig	9155
Light of Lunaris	
Lightbane Raiment	
Lightning Coil	25591
Lightpoacher	
Ligurium Talisman	11524
Limbsplit	
Lion's Roar	
Lioneye's Fall	
Lioneye's Glare	42621
Lioneye's Paws	
Lioneye's Remorse	
Lioneye's Vision	
Lochtonial Caress	10094
Lord of Steel	
Loreweave	0
Lori's Lantern	
Luminous Pace	9091
Lycosidae	10975
Machina Mitts	
Maelström of Chaos	
Mageblood	
Mageguard	0
Magna Eclipsis	0
Mahuxotl's Machination	34815
Malachai's Artifice	
Malachai's Awakening	
Malachai's Brilliance	
Malachai's Loop	
Malachai's Mark	
Malachai's Simula	
Malachai's Vision	
Malicious Intent	
Maligaro's Cruelty	
Maligaro's Etcher	
Maligaro's Lens	
Maligaro's Restraint	
Maligaro's Virtuosity	37071
Maloney's Mechanism	
Maloney's Nightfall	
Mana Sponge	
Manastorm	
Mantra of Flames	
Mao Kun	
March of the Legion	
Mark of Submission	
Mark of the Doubting Knight	
Mark of the Elder	
Mark of the Red Covenant	
Mark of the Shaper	
Mark2's Mastery	
Marohi Erqi	41160
Martial Artistry	
Martyr of Innocence	
Martyr's Crown	
Marylene's Fallacy	
Mask of the Sanguimancer	19360
Mask of the Spirit Drinker	
Mask of the Stitched Demon	22729
Mask of the Tribunal	
Matsya	20759
Matua Tupuna	0
Maw of Conquest	
Maw of Mischief	
Medved's Challenge	
Megalomaniac	20759
Meginord's Girdle	9091
Meginord's Vigour	
Meginord's Vise	
Melding of the Flesh	
Melting Maelstrom	41160
Memory Vault	
Mercenary’s Lot	
Merit of Service	19092
Midnight Bargain	0
Midnight Braid	9091
Might and Influence	
Might in All Forms	
Might of the Meek	
Mightflay	
Militant Faith	
Mind of the Council	42621
Mindspiral	
Ming's Heart	10379
Mirebough	
Miser of Misery	
Misinformation	
Mist Whisper	9091
Mistwall	0
Mjölner	42621
Mokou's Embrace	
Mon'tregul's Grasp	
Moonbender's Wing	
Moonsorrow	
Mordhau	
Morior Invictus	28414
Mortem Morsu	
Mother's Embrace	
Murkshaft	23701
Mutated Growth	
Mutewind Cache	
Mutewind Pennant	
Mutewind Seal	
Mutewind Whispersteps	
Myris Uxor	26685
Nadir Mode	
NameGoesHere	
Napuatzi's Bite	0
Nascent Hope	19632
Natural Affinity	
Natural Hierarchy	
Nazir's Judgement	10975
Nebulis	
Nebuloch	26499
Necromantle	10094
Ngamahu Tiki	
Ngamahu's Call	0
Ngamahu's Chosen	9348
Ngamahu's Flame	
Ngamahu’s Sign	
Night's Hold	
Nightgrip	
Nighthowl	0
Nightmare Shell	0
Nightscale	12357
Nimis	
Nocturne	9348
Nomic's Storm	
Northpaw	9091
Null and Void	
Null's Inclination	
Nuro's Harp	
Nycta's Lantern	
Oaksworn	9480
Oba's Cursed Trove	
Oba's Glittering Stash	
Oba's Prized Cache	
Oba's Riches	
Obern's Bastion	11365
Obliteration	
Obscurantis	
Offering to the Serpent	
Ogham's Legacy	
Olesya's Delight	
Olmec's Sanctum	
Olroth's Charge	
Olroth's Resolve	41160
Olrovasara	28414
Omen on the Winds	
Omeyocan	
Ondar's Clasp	
Ondar's Flight	
One With Nothing	
Oni-Goroshi	
Orbala's Stand	
Oriath's End	
Original Sin	31138
Ornament of the East	
Oro's Sacrifice	
Oskarm	
Oubliette Relic	
Overwhelming Odds	
Pacifism	
Pact of Skulls	
Pagan Geis	
Painseeker	
Painter's Servant	9091
Paleshade	0
Palm of the Dreamer	42621
Panquetzaliztli	
Paradoxica	
Pariah's Embrace	10823
Pauper's Path	0
Perandus Bank	
Perandus Blazon	
Perandus Seal	23867
Perandus Signet	
Perandus' Cure-all	
Perepiteia	
Perfidy	24714
Perilous Pendulum	0
Perquil's Toe	
Perseverance	
Pillar of the Caged God	9283
Pillars of Arun	
Piscator's Vigil	
Pitch Darkness	
Plaguefinger	18567
Pledge of Hands	
Plume of Pursuit	
Poacher's Aim	
Polaric Devastation	
Polcirkeln	9816
Poorjoy's Asylum	
Powerlessness	
Powertread	22729
Pragmatism	34094
Praxis	
Prayers for Rain	10975
Precursor's Emblem	
Presence of Chayula	
Primordial Eminence	
Primordial Harmony	
Primordial Might	
Prism Guardian	42621
Prism of Belief	31138
Prismatic Eclipse	
Prismweave	
Prized Pain	25236
Profane Proxy	
Progenesis	
Prospero's Vault	0
Pugilist	
Pulpit Pulper	0
Pure Talent	
Putembo's Meadow	
Putembo's Mountain	
Putembo's Valley	
Pyre	
Pyroshock Clasp	
Qotra's Regulator	
Quatl's Molt	23210
Quecholli	23536
Queen of the Forest	38655
Queen's Decree	
Queen's Escape	
Quickening Covenant	
Quill Rain	18696
Radiant Grief	10094
Rain of Splinters	
Rainbowstride	0
Ralakesh's Impatience	0
Rampart Raptor	9283
Rapid Expansion	
Rashkaldor's Patience	
Rat's Nest	0
Rathpith Globe	45700
Rational Doctrine	
Ravenous Passion	0
Razor of the Seventh Sun	
Reach of the Council	
Realm Ender	
Realmshaper	
Reaper's Pursuit	
Rearguard	11365
Rebuke of the Vaal	
Reckless Defence	
Redbeak	9091
Redblade Band	
Redblade Banner	22729
Redblade Cache	
Redblade Tramplers	
Redflare Conduit	11365
Reefbane	
Relentless Fury	
Relic of the Cycle	
Relic of the Pact	0
Reliquary of the Abyss	
Reliquary of the Apex	
Remnant of Empires	
Renegades Cache	
Repentance	
Replica Abyssus	
Replica Advancing Fortress	
Replica Alberon's Warpath	
Replica Allelopathy	
Replica Allure	
Replica Alpha's Howl	
Replica Ambu's Charge	
Replica Atziri's Acuity	
Replica Atziri's Foible	
Replica Bated Breath	
Replica Bitterdream	
Replica Blood Sacrifice	
Replica Blood Thorn	
Replica Bloodplay	
Replica Bones of Ullr	
Replica Cheap Construction	
Replica Cold Iron Point	
Replica Conqueror's Efficiency	
Replica Cortex	
Replica Doedre's Damning	
Replica Dreamfeather	
Replica Duskdawn	
Replica Earendel's Embrace	
Replica Emberwake	
Replica Eternity Shroud	
Replica Farrul's Fur	
Replica Fencoil	
Replica Forbidden Shako	
Replica Fragile Bloom	
Replica Frostbreath	
Replica Grip of the Council	
Replica Harvest	
Replica Headhunter	
Replica Heartbreaker	
Replica Hotheaded	
Replica Hyrri's Truth	
Replica Infractem	
Replica Innsbury Edge	
Replica Inya's Epiphany	
Replica Iron Commander	
Replica Kalisa's Grace	
Replica Kaom's Heart	
Replica Karui Ward	
Replica Kongor's Undying Rage	
Replica Last Resort	
Replica Lavianga's Spirit	
Replica Leer Cast	
Replica Lioneye's Paws	
Replica Loreweave	
Replica Malachai's Artifice	
Replica Maloney's Mechanism	
Replica Midnight Bargain	
Replica Mistwall	
Replica Nebulis	
Replica Oro's Sacrifice	
Replica Paradoxica	
Replica Perfect Form	
Replica Pillars of Arun	
Replica Poorjoy's Asylum	
Replica Primordial Might	
Replica Prismweave	
Replica Pure Talent	
Replica Quill Rain	
Replica Reckless Defence	
Replica Red Trail	
Replica Restless Ward	
Replica Rumi's Concoction	
Replica Shroud of the Lightless	
Replica Siegebreaker	
Replica Sorrow of the Divine	
Replica Soul Strike	
Replica Soul Taker	
Replica Soul Tether	
Replica Stampede	
Replica Tasalio’s Sign	
Replica Tempestuous Steel	
Replica Three-step Assault	
Replica Trypanon	
Replica Tukohama's Fortress	
Replica Tulfall	
Replica Twyzel	
Replica Ungil's Gauche	
Replica Unstable Payload	
Replica Veil of the Night	
Replica Victario's Charity	
Replica Voideye	
Replica Voidwalker	
Replica Volkuur's Guidance	
Replica Windripper	
Replica Wings of Entropy	
Replica Winterheart	
Restless Cycles	
Retaliation Charm	
Reverberation Rod	
Revered Resin	9546
Rewritten Distant Memory	
Rhea's Rhythm	0
Rhoa Reaver	0
Rigvald's Charge	
Rigwald's Command	
Rigwald's Crest	
Rigwald's Curse	
Rigwald's Quills	
Rigwald's Savagery	
Rime Gaze	
Ring of Blades	
Rise of the Phoenix	11605
Rite of Passage	38386
Rive	
Robbie's Rotten Mace	
Rod of Enervation	0
Rolling Flames	
Romira's Banquet	
Rondel de Ezo	9748
Rondel of Fragility	9954
Rory's Revengance	
Rotblood Promise	
Rotgut	
Roth's Reach	
Rotting Legion	
Rumblemarch	
Rumi's Concoction	
Rust of Winter	
Ryslatha's Coil	22414
Sacred Flame	32469
Sacrificial Harvest	
Sacrificial Heart	
Sacrosanctum	29015
Sadima's Touch	
Saemus' Gift	
Saffell's Frame	20188
Saitha's Spear	22729
Sands of Shakari	
Sands of Silk	20188
Sandstorm Visage	32469
Sanguine Diviner	9155
Sanguine Gambol	
Sanguis Heroum	10236
Santoni's Faith	
Saqawal's Flock	
Saqawal's Nest	
Saqawal's Talons	
Saqawal's Winds	
Scaeva	
Scar of Fate	
Scold's Bridle	25591
Scorpion's Call	
Sculpted Suffering	10525
Season of the Hunt	14207
Seastrider	0
Second Piece of Arcane	
Second Piece of Brutality	
Second Piece of Directions	
Second Piece of Focus	
Second Piece of Storms	
Second Piece of Time	
Seed of Cataclysm	18182
Seeing Stars	26315
Sekhema's Resolve Cold	27273
Sekhema's Resolve Fire	27273
Sekhema's Resolve Lightning	27273
Self-Flagellation	
Selfless Leadership	
Sentari's Answer	
Serle's Grit	0
Serpent's Egg	23049
Serpent's Lesson	21050
Seven-League Step	
Severed in Sleep	
Shackles of the Wretched	10094
Shade of Solaris	
Shadows and Dust	
Shadowstalk	0
Shadowstitch	
Shankgonne	12357
Shaper's Seed	
Shaper's Touch	0
Shattered Chains	
Shattershard	
Shavronne's Gambit	
Shavronne's Pace	
Shavronne's Revelation	
Shavronne's Satchel	27825
Shavronne's Wrappings	0
Shimmeron	
Shiny Relic	
Shiversting	
Shroud of the Lightless	
Shyaba	10975
Sibling Rivalry	0
Sibyl's Lament	
Sidhebite	
Sidhebreath	
Siegebreaker	0
Sierran Inheritance	20188
Sign of the Sin Eater	
Silks of Veneration	43522
Silverbough	
Silverbranch	
Silverpoint	0
Silverthorne	10823
Sin Trek	
Sin's Rebirth	
Sine Aequo	42621
Singularity	
Sinvicta's Mettle	
Sire of Shards	10748
Skin of the Lords	
Skin of the Loyal	27273
Skirmish	
Skullhead	
Skyforth	
Skysliver	20188
Slavedriver's Hand	0
Slitherpinch	
Slivers of Providence	
Slivertongue	11850
Snakebite	22729
Snakepit	22571
Solaris Lorica	
Solstice Vigil	
Solus Ipse	42621
Song of the Sirens	
Sorrowshroud	0
Soul Ascension	
Soul Catcher	
Soul Mantle	11605
Soul Ripper	
Soul Strike	0
Soul Taker	
Soul Tether	10379
Soul's Wick	
Soulbound	
Soulthirst	
Soulwrest	0
Southbound	
Speaker's Wreath	
Specialised	
Spine of the First Claimant	
Spire of Ire	42621
Spire of Stone	
Spirit Guards	
Spirit Link	0
Spirited Response	
Spiritskin	
Splinter of Loratta	9091
Splinter of the Moon	
Splinterheart	10094
Split Personality	
Sporeguard	
Spreading Rot	
Springleaf	
Stalwart Defenders	
Star of Wraeclast	
Starforge	
Starkonja's Head	25591
Starlight Chalice	
Stasis Prison	
Static Electricity	
Steel Spirit	
Steelworm	
Steppan Eard	
Stillwater	
Stone of Lazhwar	9546
Storm Cloud	
Storm Prison	
Storm Secret	
Storm's Gift	
Stormblast	
Stormcharger	
Stormfire	
Stormseeker	
Stormshroud	
Story of the Vaal	
Straight and True	
Strange Barrel	
Stranglegasp	
Strike of Inspiration	0
String of Servitude	
Strugglescream	32243
Sublime Vision	
Sudden Dawn	
Sudden Ignition	
Sunblast	0
Sundance	
Sunspite	
Sunsplinter	39749
Surefooted Sigil	9546
Surge of the Tide	
Surgebinders	
Survival Instincts	
Survival Secrets	
Survival Skills	
Survivor's Guilt	
Svalinn	37071
Tabula Rasa	27273
Tainted Pact	
Tale of the Tempest	0
Talisman of the Victor	
Tangletongue	10823
Tanu Ahi	
Taproot	
Taryn's Shiver	18309
Tasalio’s Sign	
Taste of Hate	
Tavukai	
Tawhoa's Felling	
