# mod_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: mod_id	name	gen_type(1=Prefix,2=Suffix,3=Unique)	tier_word
IncreasedPhysicalDamageReductionRating9	Abating	1	
IncreasedPhysicalDamageReductionRating10	Unmoving	1	
IncreasedEvasionRating1	Agile	1	
IncreasedEvasionRating2	Dancer's	1	
IncreasedEvasionRating3	Acrobat's	1	
IncreasedEvasionRating4	Fleet	1	
IncreasedEvasionRating5	Blurred	1	
IncreasedEvasionRating6	Phased	1	
IncreasedEvasionRating7	Vaporous	1	
IncreasedEvasionRating8	Elusory	1	
IncreasedEvasionRating9	Adroit	1	
IncreasedEnergyShield1	Shining	1	
IncreasedEnergyShield2	Glimmering	1	
IncreasedEnergyShield3	Glittering	1	
IncreasedEnergyShield4	Glowing	1	
IncreasedEnergyShield5	Radiating	1	
IncreasedEnergyShield6	Pulsing	1	
IncreasedEnergyShield7	Blazing	1	
IncreasedEnergyShield8	Dazzling	1	
IncreasedEnergyShield9	Scintillating	1	
IncreasedEnergyShield10	Incandescent	1	
IncreasedPhysicalDamageReductionRatingPercent1	Reinforced	1	
IncreasedPhysicalDamageReductionRatingPercent2	Layered	1	
IncreasedPhysicalDamageReductionRatingPercent3	Lobstered	1	
IncreasedPhysicalDamageReductionRatingPercent4	Buttressed	1	
IncreasedPhysicalDamageReductionRatingPercent5	Thickened	1	
IncreasedPhysicalDamageReductionRatingPercent6	Girded	1	
IncreasedPhysicalDamageReductionRatingPercent7	Impregnable	1	
IncreasedEvasionRatingPercent1	Shade's	1	
IncreasedEvasionRatingPercent2	Ghost's	1	
IncreasedEvasionRatingPercent3	Spectre's	1	
IncreasedEvasionRatingPercent4	Wraith's	1	
IncreasedEvasionRatingPercent5	Phantasm's	1	
IncreasedEvasionRatingPercent6	Nightmare's	1	
IncreasedEvasionRatingPercent7	Mirage's	1	
IncreasedEnergyShieldPercent1	Protective	1	
IncreasedEnergyShieldPercent2	Strong-Willed	1	
IncreasedEnergyShieldPercent3	Resolute	1	
IncreasedEnergyShieldPercent4	Fearless	1	
IncreasedEnergyShieldPercent5	Dauntless	1	
IncreasedEnergyShieldPercent6	Indomitable	1	
IncreasedEnergyShieldPercent7	Unassailable	1	
LocalIncreasedPhysicalDamageReductionRating1	Lacquered	1	
LocalIncreasedPhysicalDamageReductionRating2	Studded	1	
LocalIncreasedPhysicalDamageReductionRating3	Ribbed	1	
LocalIncreasedPhysicalDamageReductionRating4	Fortified	1	
LocalIncreasedPhysicalDamageReductionRating5	Plated	1	
LocalIncreasedPhysicalDamageReductionRating6	Carapaced	1	
LocalIncreasedPhysicalDamageReductionRating7__	Encased	1	
LocalIncreasedPhysicalDamageReductionRating8	Enveloped	1	
LocalIncreasedPhysicalDamageReductionRating9_	Abating	1	
LocalIncreasedPhysicalDamageReductionRating10	Unmoving	1	
LocalIncreasedPhysicalDamageReductionRating11	Impervious	1	
LocalIncreasedEvasionRating1	Agile	1	
LocalIncreasedEvasionRating2	Dancer's	1	
LocalIncreasedEvasionRating3	Acrobat's	1	
LocalIncreasedEvasionRating4	Fleet	1	
LocalIncreasedEvasionRating5	Blurred	1	
LocalIncreasedEvasionRating6	Phased	1	
LocalIncreasedEvasionRating7_	Vaporous	1	
LocalIncreasedEvasionRating8	Elusory	1	
LocalIncreasedEvasionRating9___	Adroit	1	
LocalIncreasedEvasionRating10	Lissome	1	
LocalIncreasedEvasionRating11	Fugitive	1	
LocalIncreasedEnergyShield1	Shining	1	
LocalIncreasedEnergyShield2	Glimmering	1	
LocalIncreasedEnergyShield3	Glittering	1	
LocalIncreasedEnergyShield4	Glowing	1	
LocalIncreasedEnergyShield5	Radiating	1	
LocalIncreasedEnergyShield6	Pulsing	1	
LocalIncreasedEnergyShield7	Blazing	1	
LocalIncreasedEnergyShield8	Dazzling	1	
LocalIncreasedEnergyShield9	Scintillating	1	
LocalIncreasedEnergyShield10	Incandescent	1	
LocalIncreasedEnergyShield11	Resplendent	1	
LocalBaseArmourAndEvasionRating1	Supple	1	
LocalBaseArmourAndEvasionRating2	Pliant	1	
LocalBaseArmourAndEvasionRating3	Flexible	1	
LocalBaseArmourAndEvasionRating4	Durable	1	
LocalBaseArmourAndEvasionRating5	Sturdy	1	
LocalBaseArmourAndEvasionRating6_	Resilient	1	
LocalBaseArmourAndEvasionRating7	Adaptable	1	
LocalBaseArmourAndEvasionRating8	Versatile	1	
LocalBaseArmourAndEnergyShield1	Blessed	1	
LocalBaseArmourAndEnergyShield2_	Anointed	1	
LocalBaseArmourAndEnergyShield3	Sanctified	1	
LocalBaseArmourAndEnergyShield4	Hallowed	1	
LocalBaseArmourAndEnergyShield5	Beatified	1	
LocalBaseArmourAndEnergyShield6	Consecrated	1	
LocalBaseArmourAndEnergyShield7	Saintly	1	
LocalBaseArmourAndEnergyShield8	Godly	1	
LocalBaseEvasionRatingAndEnergyShield1	Will-o-wisp's	1	
LocalBaseEvasionRatingAndEnergyShield2	Nymph's	1	
LocalBaseEvasionRatingAndEnergyShield3	Sylph's	1	
LocalBaseEvasionRatingAndEnergyShield4	Cherub's	1	
LocalBaseEvasionRatingAndEnergyShield5_	Spirit's	1	
LocalBaseEvasionRatingAndEnergyShield6	Eidolon's	1	
LocalBaseEvasionRatingAndEnergyShield7___	Apparition's	1	
LocalBaseEvasionRatingAndEnergyShield8___	Banshee's	1	
LocalIncreasedPhysicalDamageReductionRatingPercent1	Reinforced	1	
LocalIncreasedPhysicalDamageReductionRatingPercent2	Layered	1	
LocalIncreasedPhysicalDamageReductionRatingPercent3	Lobstered	1	
LocalIncreasedPhysicalDamageReductionRatingPercent4	Buttressed	1	
LocalIncreasedPhysicalDamageReductionRatingPercent5	Thickened	1	
LocalIncreasedPhysicalDamageReductionRatingPercent6	Girded	1	
LocalIncreasedPhysicalDamageReductionRatingPercent7	Impregnable	1	
LocalIncreasedPhysicalDamageReductionRatingPercent8_	Impenetrable	1	
LocalIncreasedEvasionRatingPercent1	Shade's	1	
LocalIncreasedEvasionRatingPercent2	Ghost's	1	
LocalIncreasedEvasionRatingPercent3	Spectre's	1	
LocalIncreasedEvasionRatingPercent4	Wraith's	1	
LocalIncreasedEvasionRatingPercent5	Phantasm's	1	
LocalIncreasedEvasionRatingPercent6	Nightmare's	1	
LocalIncreasedEvasionRatingPercent7	Mirage's	1	
LocalIncreasedEvasionRatingPercent8	Illusion's	1	
LocalIncreasedEnergyShieldPercent1	Protective	1	
LocalIncreasedEnergyShieldPercent2	Strong-Willed	1	
LocalIncreasedEnergyShieldPercent3	Resolute	1	
LocalIncreasedEnergyShieldPercent4	Fearless	1	
LocalIncreasedEnergyShieldPercent5	Dauntless	1	
LocalIncreasedEnergyShieldPercent6	Indomitable	1	
LocalIncreasedEnergyShieldPercent7_	Unassailable	1	
LocalIncreasedEnergyShieldPercent8	Unfaltering	1	
LocalIncreasedArmourAndEvasion1	Scrapper's	1	
LocalIncreasedArmourAndEvasion2	Brawler's	1	
LocalIncreasedArmourAndEvasion3	Fencer's	1	
LocalIncreasedArmourAndEvasion4	Gladiator's	1	
LocalIncreasedArmourAndEvasion5	Duelist's	1	
LocalIncreasedArmourAndEvasion6	Hero's	1	
LocalIncreasedArmourAndEvasion7	Legend's	1	
LocalIncreasedArmourAndEvasion8	Victor's	1	
LocalIncreasedArmourAndEnergyShield1	Infixed	1	
LocalIncreasedArmourAndEnergyShield2	Ingrained	1	
LocalIncreasedArmourAndEnergyShield3	Instilled	1	
LocalIncreasedArmourAndEnergyShield4	Infused	1	
LocalIncreasedArmourAndEnergyShield5	Inculcated	1	
LocalIncreasedArmourAndEnergyShield6	Interpolated	1	
LocalIncreasedArmourAndEnergyShield7	Inspired	1	
LocalIncreasedArmourAndEnergyShield8	Interpermeated	1	
LocalIncreasedEvasionAndEnergyShield1	Shadowy	1	
LocalIncreasedEvasionAndEnergyShield2	Ethereal	1	
LocalIncreasedEvasionAndEnergyShield3	Unworldly	1	
LocalIncreasedEvasionAndEnergyShield4	Ephemeral	1	
LocalIncreasedEvasionAndEnergyShield5_	Evanescent	1	
LocalIncreasedEvasionAndEnergyShield6	Unreal	1	
LocalIncreasedEvasionAndEnergyShield7	Illusory	1	
LocalIncreasedEvasionAndEnergyShield8	Incorporeal	1	
LocalArmourAndStunThreshold1	Beetle's	1	
LocalArmourAndStunThreshold2	Crab's	1	
LocalArmourAndStunThreshold3	Armadillo's	1	
LocalArmourAndStunThreshold4	Rhino's	1	
LocalArmourAndStunThreshold5	Elephant's	1	
LocalArmourAndStunThreshold6	Mammoth's	1	
LocalEvasionAndStunThreshold1	Mosquito's	1	
LocalEvasionAndStunThreshold2	Moth's	1	
LocalEvasionAndStunThreshold3	Butterfly's	1	
LocalEvasionAndStunThreshold4	Wasp's	1	
LocalEvasionAndStunThreshold5	Dragonfly's	1	
LocalEvasionAndStunThreshold6	Hummingbird's	1	
LocalEnergyShieldAndStunThreshold1	Pixie's	1	
LocalEnergyShieldAndStunThreshold2	Gremlin's	1	
LocalEnergyShieldAndStunThreshold3	Boggart's	1	
LocalEnergyShieldAndStunThreshold4	Naga's	1	
LocalEnergyShieldAndStunThreshold5	Djinn's	1	
LocalEnergyShieldAndStunThreshold6	Seraphim's	1	
LocalArmourAndEvasionAndStunThreshold1	Captain's	1	
LocalArmourAndEvasionAndStunThreshold2	Commander's	1	
LocalArmourAndEvasionAndStunThreshold3	Magnate's	1	
LocalArmourAndEvasionAndStunThreshold4	Marshal's	1	
LocalArmourAndEvasionAndStunThreshold5	General's	1	
LocalArmourAndEvasionAndStunThreshold6	Warlord's	1	
LocalArmourAndEnergyShieldAndStunThreshold1	Defender's	1	
LocalArmourAndEnergyShieldAndStunThreshold2	Protector's	1	
LocalArmourAndEnergyShieldAndStunThreshold3	Keeper's	1	
LocalArmourAndEnergyShieldAndStunThreshold4	Guardian's	1	
LocalArmourAndEnergyShieldAndStunThreshold5	Warden's	1	
LocalArmourAndEnergyShieldAndStunThreshold6	Sentinel's	1	
LocalEvasionAndEnergyShieldAndStunThreshold1	Intuitive	1	
LocalEvasionAndEnergyShieldAndStunThreshold2	Psychic	1	
LocalEvasionAndEnergyShieldAndStunThreshold3	Telepath's	1	
LocalEvasionAndEnergyShieldAndStunThreshold4	Illusionist's	1	
LocalEvasionAndEnergyShieldAndStunThreshold5	Mentalist's	1	
LocalEvasionAndEnergyShieldAndStunThreshold6	Trickster's	1	
LocalIncreasedArmourAndLife1	Oyster's	1	
LocalIncreasedArmourAndLife2	Lobster's	1	
LocalIncreasedArmourAndLife3	Urchin's	1	
LocalIncreasedArmourAndLife4	Nautilus'	1	
LocalIncreasedArmourAndLife5	Octopus'	1	
LocalIncreasedArmourAndLife6	Crocodile's	1	
LocalIncreasedEvasionAndLife1	Flea's	1	
LocalIncreasedEvasionAndLife2	Fawn's	1	
LocalIncreasedEvasionAndLife3	Mouflon's	1	
LocalIncreasedEvasionAndLife4	Ram's	1	
LocalIncreasedEvasionAndLife5	Ibex's	1	
LocalIncreasedEvasionAndLife6	Stag's	1	
LocalIncreasedEnergyShieldAndLife1	Monk's	1	
LocalIncreasedEnergyShieldAndLife2	Prior's	1	
LocalIncreasedEnergyShieldAndLife3	Abbot's	1	
LocalIncreasedEnergyShieldAndLife4	Bishop's	1	
LocalIncreasedEnergyShieldAndLife5	Exarch's	1	
LocalIncreasedEnergyShieldAndLife6	Pope's	1	
LocalIncreasedArmourAndEvasionAndLife1	Bully's	1	
LocalIncreasedArmourAndEvasionAndLife2	Thug's	1	
LocalIncreasedArmourAndEvasionAndLife3	Brute's	1	
LocalIncreasedArmourAndEvasionAndLife4	Assailant's	1	
LocalIncreasedArmourAndEvasionAndLife5	Aggressor's	1	
LocalIncreasedArmourAndEvasionAndLife6	Predator's	1	
LocalIncreasedArmourAndEnergyShieldAndLife1	Augur's	1	
LocalIncreasedArmourAndEnergyShieldAndLife2	Auspex's	1	
LocalIncreasedArmourAndEnergyShieldAndLife3	Druid's	1	
LocalIncreasedArmourAndEnergyShieldAndLife4	Haruspex's	1	
LocalIncreasedArmourAndEnergyShieldAndLife5	Visionary's	1	
LocalIncreasedArmourAndEnergyShieldAndLife6	Prophet's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife1	Poet's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife2	Musician's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife3	Troubadour's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife4	Bard's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife5	Minstrel's	1	
LocalIncreasedEvasionAndEnergyShieldAndLife6	Maestro's	1	
LocalIncreasedArmourAndMana1	Imposing	1	
LocalIncreasedArmourAndMana2	Venerable	1	
LocalIncreasedArmourAndMana3	Regal	1	
LocalIncreasedArmourAndMana4	Colossal	1	
LocalIncreasedArmourAndMana5	Chieftain's	1	
LocalIncreasedArmourAndMana6	Ancestral	1	
LocalIncreasedEvasionAndMana1	Nomad's	1	
LocalIncreasedEvasionAndMana2	Drifter's	1	
LocalIncreasedEvasionAndMana3	Traveller's	1	
LocalIncreasedEvasionAndMana4	Explorer's	1	
LocalIncreasedEvasionAndMana5	Wayfarer's	1	
LocalIncreasedEvasionAndMana6	Wanderer's	1	
LocalIncreasedEnergyShieldAndMana1	Imbued	1	
LocalIncreasedEnergyShieldAndMana2	Serene	1	
LocalIncreasedEnergyShieldAndMana3	Sacred	1	
LocalIncreasedEnergyShieldAndMana4	Celestial	1	
LocalIncreasedEnergyShieldAndMana5	Heavenly	1	
LocalIncreasedEnergyShieldAndMana6	Angel's	1	
LocalIncreasedArmourAndEvasionAndMana1	Rhoa's	1	
LocalIncreasedArmourAndEvasionAndMana2	Rhex's	1	
LocalIncreasedArmourAndEvasionAndMana3	Chimeral's	1	
LocalIncreasedArmourAndEvasionAndMana4	Bull's	1	
LocalIncreasedArmourAndEvasionAndMana5	Minotaur's	1	
LocalIncreasedArmourAndEvasionAndMana6	Cerberus'	1	
LocalIncreasedArmourAndEnergyShieldAndMana1	Coelacanth's	1	
LocalIncreasedArmourAndEnergyShieldAndMana2	Swordfish's	1	
LocalIncreasedArmourAndEnergyShieldAndMana3	Shark's	1	
LocalIncreasedArmourAndEnergyShieldAndMana4	Dolphin's	1	
LocalIncreasedArmourAndEnergyShieldAndMana5	Orca's	1	
LocalIncreasedArmourAndEnergyShieldAndMana6	Whale's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana1	Vulture's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana2	Kingfisher's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana3	Owl's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana4	Hawk's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana5	Eagle's	1	
LocalIncreasedEvasionAndEnergyShieldAndMana6	Falcon's	1	
LocalIncreasedArmourAndBase1	Abalone's	1	
LocalIncreasedArmourAndBase2	Snail's	1	
LocalIncreasedArmourAndBase3	Tortoise's	1	
LocalIncreasedArmourAndBase4	Pangolin's	1	
LocalIncreasedArmourAndBase5	Shelled	1	
LocalIncreasedArmourAndBase6	Hardened	1	
LocalIncreasedEvasionAndBase1	Impala's	1	
LocalIncreasedEvasionAndBase2	Buck's	1	
LocalIncreasedEvasionAndBase3	Moose's	1	
LocalIncreasedEvasionAndBase4	Deer's	1	
LocalIncreasedEvasionAndBase5	Caribou's	1	
LocalIncreasedEvasionAndBase6	Antelope's	1	
LocalIncreasedEnergyShieldAndBase1	Deacon's	1	
LocalIncreasedEnergyShieldAndBase2	Cardinal's	1	
LocalIncreasedEnergyShieldAndBase3	Priest's	1	
LocalIncreasedEnergyShieldAndBase4	High Priest's	1	
LocalIncreasedEnergyShieldAndBase5	Archon's	1	
LocalIncreasedEnergyShieldAndBase6	Divine	1	
LocalIncreasedArmourAndEvasionAndBase1	Swordsman's	1	
LocalIncreasedArmourAndEvasionAndBase2	Fighter's	1	
LocalIncreasedArmourAndEvasionAndBase3	Veteran's	1	
LocalIncreasedArmourAndEvasionAndBase4	Warrior's	1	
LocalIncreasedArmourAndEvasionAndBase5	Knight's	1	
LocalIncreasedArmourAndEvasionAndBase6	Centurion's	1	
LocalIncreasedArmourAndEnergyShieldAndBase1	Faithful	1	
LocalIncreasedArmourAndEnergyShieldAndBase2	Noble's	1	
LocalIncreasedArmourAndEnergyShieldAndBase3	Inquisitor's	1	
LocalIncreasedArmourAndEnergyShieldAndBase4	Crusader's	1	
LocalIncreasedArmourAndEnergyShieldAndBase5	Paladin's	1	
LocalIncreasedArmourAndEnergyShieldAndBase6	Grand	1	
LocalIncreasedEvasionAndEnergyShieldAndBase1	Pursuer's	1	
LocalIncreasedEvasionAndEnergyShieldAndBase2	Tracker's	1	
LocalIncreasedEvasionAndEnergyShieldAndBase3	Chaser's	1	
LocalIncreasedEvasionAndEnergyShieldAndBase4	Phantom's	1	
LocalIncreasedEvasionAndEnergyShieldAndBase5	Rogue's	1	
LocalIncreasedEvasionAndEnergyShieldAndBase6	Stalker's	1	
LocalIncreasedArmourAndEvasionAndEnergyShield1	Shadowy	1	
LocalIncreasedArmourAndEvasionAndEnergyShield2	Ethereal	1	
LocalIncreasedArmourAndEvasionAndEnergyShield3	Unworldly	1	
LocalIncreasedArmourAndEvasionAndEnergyShield4	Ephemeral	1	
LocalIncreasedArmourAndEvasionAndEnergyShield5	Evanescent	1	
LocalIncreasedArmourAndEvasionAndEnergyShield6	Unreal	1	
LocalIncreasedArmourAndEvasionAndEnergyShield7	Incorporeal	1	
LocalIncreasedArmourAndEvasionAndEnergyShield8	Ascendant	1	
ReducedLocalAttributeRequirements1	of the Worthy	2	
ReducedLocalAttributeRequirements2	of the Apt	2	
ReducedLocalAttributeRequirements3	of the Talented	2	
ReducedLocalAttributeRequirements4	of the Skilled	2	
ReducedLocalAttributeRequirements5	of the Proficient	2	
LocalBaseEvasionRatingAndEnergyShieldPerLevelImplicit	[DNT-UNUSED] Hand Wraps	3	
StunThreshold1	of Thick Skin	2	
StunThreshold2	of Reinforced Skin	2	
StunThreshold3	of Stone Skin	2	
StunThreshold4	of Iron Skin	2	
StunThreshold5	of Steel Skin	2	
StunThreshold6	of Granite Skin	2	
StunThreshold7	of Platinum Skin	2	
StunThreshold8	of Adamantite Skin	2	
StunThreshold9	of Corundum Skin	2	
StunThreshold10	of Obsidian Skin	2	
StunThreshold11	of Titanium Skin	2	
MovementVelocity1	Runner's	1	
MovementVelocity2	Sprinter's	1	
MovementVelocity3	Stallion's	1	
MovementVelocity4	Gazelle's	1	
MovementVelocity5	Cheetah's	1	
MovementVelocity6	Hellion's	1	
AttackerTakesDamage1	Thorny	1	
AttackerTakesDamage2	Spiny	1	
AttackerTakesDamage3	Barbed	1	
AttackerTakesDamage4	Pointed	1	
AttackerTakesDamage5	Spiked	1	
AttackerTakesDamage6	Edged	1	
AttackerTakesDamage7	Jagged	1	
AddedPhysicalDamage1	Glinting	1	
AddedPhysicalDamage2	Burnished	1	
AddedPhysicalDamage3	Polished	1	
AddedPhysicalDamage4	Honed	1	
AddedPhysicalDamage5	Gleaming	1	
AddedPhysicalDamage6	Annealed	1	
AddedPhysicalDamage7	Razor-sharp	1	
AddedPhysicalDamage8	Tempered	1	
AddedPhysicalDamage9	Flaring	1	
AddedFireDamage1	Heated	1	
AddedFireDamage2	Smouldering	1	
AddedFireDamage3	Smoking	1	
AddedFireDamage4	Burning	1	
AddedFireDamage5	Flaming	1	
AddedFireDamage6	Scorching	1	
AddedFireDamage7	Incinerating	1	
AddedFireDamage8	Blasting	1	
AddedFireDamage9	Cremating	1	
AddedColdDamage1	Frosted	1	
AddedColdDamage2	Chilled	1	
AddedColdDamage3	Icy	1	
AddedColdDamage4	Frigid	1	
AddedColdDamage5	Freezing	1	
AddedColdDamage6	Frozen	1	
AddedColdDamage7	Glaciated	1	
AddedColdDamage8	Polar	1	
AddedColdDamage9	Entombing	1	
AddedLightningDamage1	Humming	1	
AddedLightningDamage2	Buzzing	1	
AddedLightningDamage3	Snapping	1	
AddedLightningDamage4	Crackling	1	
AddedLightningDamage5	Sparking	1	
AddedLightningDamage6	Arcing	1	
AddedLightningDamage7	Shocking	1	
AddedLightningDamage8	Discharging	1	
AddedLightningDamage9	Electrocuting	1	
LocalAddedPhysicalDamage1	Glinting	1	
LocalAddedPhysicalDamage2	Burnished	1	
LocalAddedPhysicalDamage3	Polished	1	
LocalAddedPhysicalDamage4	Honed	1	
LocalAddedPhysicalDamage5	Gleaming	1	
LocalAddedPhysicalDamage6	Annealed	1	
LocalAddedPhysicalDamage7	Razor-sharp	1	
LocalAddedPhysicalDamage8	Tempered	1	
LocalAddedPhysicalDamage9	Flaring	1	
LocalAddedPhysicalDamageTwoHand1	Glinting	1	
LocalAddedPhysicalDamageTwoHand2	Burnished	1	
LocalAddedPhysicalDamageTwoHand3	Polished	1	
LocalAddedPhysicalDamageTwoHand4	Honed	1	
LocalAddedPhysicalDamageTwoHand5	Gleaming	1	
LocalAddedPhysicalDamageTwoHand6	Annealed	1	
LocalAddedPhysicalDamageTwoHand7	Razor-sharp	1	
LocalAddedPhysicalDamageTwoHand8	Tempered	1	
LocalAddedPhysicalDamageTwoHand9	Flaring	1	
LocalAddedFireDamage1	Heated	1	
LocalAddedFireDamage2	Smouldering	1	
LocalAddedFireDamage3	Smoking	1	
LocalAddedFireDamage4	Burning	1	
LocalAddedFireDamage5	Flaming	1	
LocalAddedFireDamage6	Scorching	1	
LocalAddedFireDamage7	Incinerating	1	
LocalAddedFireDamage8	Blasting	1	
LocalAddedFireDamage9	Cremating	1	
LocalAddedFireDamage10_	Carbonising	1	
LocalAddedFireDamageTwoHand1	Heated	1	
LocalAddedFireDamageTwoHand2	Smouldering	1	
LocalAddedFireDamageTwoHand3	Smoking	1	
LocalAddedFireDamageTwoHand4	Burning	1	
LocalAddedFireDamageTwoHand5	Flaming	1	
LocalAddedFireDamageTwoHand6	Scorching	1	
LocalAddedFireDamageTwoHand7	Incinerating	1	
LocalAddedFireDamageTwoHand8_	Blasting	1	
LocalAddedFireDamageTwoHand9	Cremating	1	
LocalAddedFireDamageTwoHand10	Carbonising	1	
LocalAddedColdDamage1	Frosted	1	
LocalAddedColdDamage2	Chilled	1	
LocalAddedColdDamage3	Icy	1	
LocalAddedColdDamage4	Frigid	1	
LocalAddedColdDamage5	Freezing	1	
LocalAddedColdDamage6	Frozen	1	
LocalAddedColdDamage7	Glaciated	1	
LocalAddedColdDamage8	Polar	1	
LocalAddedColdDamage9	Entombing	1	
LocalAddedColdDamage10__	Crystalising	1	
