# base_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	display_name
Metadata/Items/Currency/CurrencyAddSkillGemSocket5	Perfect Jeweller's Orb
Metadata/Items/Currency/CurrencyAddEquipmentSocket	Artificer's Orb
Metadata/Items/Currency/CurrencyModValues	Divine Orb
Metadata/Items/Currency/CurrencyRerollImplicit	Blessed Orb
Metadata/Items/Currency/CurrencyRerollDefences	Sacred Orb
Metadata/Items/Currency/CurrencyMapQuality	Cartographer's Chisel
Metadata/Items/Currency/CurrencyIdentificationShard	Scroll Fragment
Metadata/Items/Currency/CurrencyUpgradeToMagicShard	Transmutation Shard
Metadata/Items/Currency/CurrencyRerollMagicShard	Alteration Shard
Metadata/Items/Currency/CurrencyUpgradeToRareShard	Alchemy Shard
Metadata/Items/Currency/CurrencyUpgradeRandomlyShard	Chance Shard
Metadata/Items/Currency/CurrencyRhoaFeather	Albino Rhoa Feather
Metadata/Items/Currency/CurrencyVultureFeather	Golden Vulture Feather
Metadata/Items/Currency/CurrencyToucanFeather	Rainbow Toucan Feather
Metadata/Items/Currency/CurrencyKiwiFeather	Jade Kiwi Feather
Metadata/Items/Currency/CurrencyPeacockFeather	Stygian Peacock Feather
Metadata/Items/Currency/CurrencyImprintOrb	Eternal Orb
Metadata/Items/Currency/CurrencyImprint	Imprint
Metadata/Items/Currency/CurrencyCorrupt	Vaal Orb
Metadata/Items/Currency/CurrencyIncursionCorrupt1	Corrupt
Metadata/Items/Currency/CurrencyIncursionDoubleCorrupt	Architect's Orb
Metadata/Items/Currency/CurrencyIncursionDoubleCorruptGem	Crystallised Corruption
Metadata/Items/Currency/CurrencyIncursionModifySoulCore	Core Destabiliser
Metadata/Items/Currency/CurrencyIncursionCorruptTablet	Ancient Infuser
Metadata/Items/Currency/CurrencyIncursionMutateUnique	Vaal Cultivation Orb
Metadata/Items/Currency/CurrencyIncursionMutateCorruptionEnchantWeapon	Brutal Orb of Sacrifice
Metadata/Items/Currency/CurrencyIncursionMutateCorruptionEnchantArmour	Fortified Orb of Sacrifice
Metadata/Items/Currency/CurrencyIncursionMutateCorruptionEnchantJewellery	Profane Orb of Sacrifice
Metadata/Items/Currency/CurrencyIncursionMutateCorruptionEnchantJewel	Royal Orb of Sacrifice
Metadata/Items/Currency/CurrencyIncursionWeaponOrArmourQualityLow	[DNT] Not Shown To Players
Metadata/Items/Currency/CurrencyIncursionWeaponOrArmourQualityMid	[DNT] Not Shown To Players
Metadata/Items/Currency/CurrencyIncursionWeaponOrArmourQualityHigh	Vaal Infuser
Metadata/Items/Currency/CurrencyIncursionExtractAllSocketablesBench	Orb of Extraction
Metadata/Items/Currency/CurrencyIncursionExtractAllSocketablesCurrency	Orb of Extraction
Metadata/Items/Currency/CurrencyIncursionVaalIncubator	Vaal Siphoner
Metadata/Items/Currency/CurrencyIncursionBetterGemQuality	[DNT] Incursion Gemcutter's Prism (not visible to players)
Metadata/Items/Currency/CurrencyIncursionAddModToRareEquipment	[DNT] Not Shown To Players
Metadata/Items/Currency/CurrencyIncursionUpgradeMagicToRareEquipment	[DNT] Not Shown To Players
Metadata/Items/Currency/CurrencyIncursionUpgradeToRareEquipment	[DNT] Not Shown To Players
Metadata/Items/Currency/CurrencyPerandusCoin	Perandus Coin
Metadata/Items/Currency/CurrencySilverCoin	Silver Coin
Metadata/Items/Currency/CurrencyItemisedProphecy	Prophecy
Metadata/Items/Currency/CurrencyItemiseCapturedMonster	Bestiary Orb
Metadata/Items/Currency/CurrencyItemisedCapturedMonster	Imprinted Bestiary Orb
Metadata/Items/Currency/CurrencyItemiseSextantModifier	Surveyor's Compass
Metadata/Items/Currency/CurrencyItemisedSextantModifier	Charged Compass
Metadata/Items/Currency/CurrencyRerollSkillQualityType	Prime Regrading Lens
Metadata/Items/Currency/CurrencyRerollSupportQualityType	Secondary Regrading Lens
Metadata/Items/Currency/CurrencyHeistWeaponEnchant	Tempering Orb
Metadata/Items/Currency/CurrencyHeistArmourEnchant	Tailoring Orb
Metadata/Items/Currency/CurrencyLesserEssenceLife	Lesser Essence of the Body
Metadata/Items/Currency/CurrencyLesserEssenceMana	Lesser Essence of the Mind
Metadata/Items/Currency/CurrencyLesserEssenceDefences	Lesser Essence of Enhancement
Metadata/Items/Currency/CurrencyLesserEssencePhysical	Lesser Essence of Abrasion
Metadata/Items/Currency/CurrencyLesserEssenceFire	Lesser Essence of Flames
Metadata/Items/Currency/CurrencyLesserEssenceCold	Lesser Essence of Ice
Metadata/Items/Currency/CurrencyLesserEssenceLightning	Lesser Essence of Electricity
Metadata/Items/Currency/CurrencyLesserEssenceChaos	Lesser Essence of Ruin
Metadata/Items/Currency/CurrencyLesserEssenceAttack	Lesser Essence of Battle
Metadata/Items/Currency/CurrencyLesserEssenceCaster	Lesser Essence of Sorcery
Metadata/Items/Currency/CurrencyLesserEssenceSpeed	Lesser Essence of Haste
Metadata/Items/Currency/CurrencyLesserEssenceAttribute	Lesser Essence of the Infinite
Metadata/Items/Currency/CurrencyEssenceLife	Essence of the Body
Metadata/Items/Currency/CurrencyEssenceMana	Essence of the Mind
Metadata/Items/Currency/CurrencyEssenceDefences	Essence of Enhancement
Metadata/Items/Currency/CurrencyEssencePhysical	Essence of Abrasion
Metadata/Items/Currency/CurrencyEssenceFire	Essence of Flames
Metadata/Items/Currency/CurrencyEssenceCold	Essence of Ice
Metadata/Items/Currency/CurrencyEssenceLightning	Essence of Electricity
Metadata/Items/Currency/CurrencyEssenceChaos	Essence of Ruin
Metadata/Items/Currency/CurrencyEssenceAttack	Essence of Battle
Metadata/Items/Currency/CurrencyEssenceCaster	Essence of Sorcery
Metadata/Items/Currency/CurrencyEssenceSpeed	Essence of Haste
Metadata/Items/Currency/CurrencyEssenceAttribute	Essence of the Infinite
Metadata/Items/Currency/CurrencyGreaterEssenceLife	Greater Essence of the Body
Metadata/Items/Currency/CurrencyGreaterEssenceMana	Greater Essence of the Mind
Metadata/Items/Currency/CurrencyGreaterEssenceDefences	Greater Essence of Enhancement
Metadata/Items/Currency/CurrencyGreaterEssencePhysical	Greater Essence of Abrasion
Metadata/Items/Currency/CurrencyGreaterEssenceFire	Greater Essence of Flames
Metadata/Items/Currency/CurrencyGreaterEssenceCold	Greater Essence of Ice
Metadata/Items/Currency/CurrencyGreaterEssenceLightning	Greater Essence of Electricity
Metadata/Items/Currency/CurrencyGreaterEssenceChaos	Greater Essence of Ruin
Metadata/Items/Currency/CurrencyGreaterEssenceAttack	Greater Essence of Battle
Metadata/Items/Currency/CurrencyGreaterEssenceCaster	Greater Essence of Sorcery
Metadata/Items/Currency/CurrencyGreaterEssenceSpeed	Greater Essence of Haste
Metadata/Items/Currency/CurrencyGreaterEssenceAttribute	Greater Essence of the Infinite
Metadata/Items/Currency/CurrencyPerfectEssenceLife	Perfect Essence of the Body
Metadata/Items/Currency/CurrencyPerfectEssenceMana	Perfect Essence of the Mind
Metadata/Items/Currency/CurrencyPerfectEssenceDefences	Perfect Essence of Enhancement
Metadata/Items/Currency/CurrencyPerfectEssencePhysical	Perfect Essence of Abrasion
Metadata/Items/Currency/CurrencyPerfectEssenceFire	Perfect Essence of Flames
Metadata/Items/Currency/CurrencyPerfectEssenceCold	Perfect Essence of Ice
Metadata/Items/Currency/CurrencyPerfectEssenceLightning	Perfect Essence of Electricity
Metadata/Items/Currency/CurrencyPerfectEssenceChaos	Perfect Essence of Ruin
Metadata/Items/Currency/CurrencyPerfectEssenceAttack	Perfect Essence of Battle
Metadata/Items/Currency/CurrencyPerfectEssenceCaster	Perfect Essence of Sorcery
Metadata/Items/Currency/CurrencyPerfectEssenceSpeed	Perfect Essence of Haste
Metadata/Items/Currency/CurrencyPerfectEssenceAttribute	Perfect Essence of the Infinite
Metadata/Items/Currency/CurrencyLesserEssenceCritical	Lesser Essence of Seeking
Metadata/Items/Currency/CurrencyEssenceCritical	Essence of Seeking
Metadata/Items/Currency/CurrencyGreaterEssenceCritical	Greater Essence of Seeking
Metadata/Items/Currency/CurrencyPerfectEssenceCritical	Perfect Essence of Seeking
Metadata/Items/Currency/CurrencyCorruptedEssenceHysteria	Essence of Hysteria
Metadata/Items/Currency/CurrencyCorruptedEssenceDelirium	Essence of Delirium
Metadata/Items/Currency/CurrencyCorruptedEssenceHorror	Essence of Horror
Metadata/Items/Currency/CurrencyCorruptedEssenceInsanity	Essence of Insanity
Metadata/Items/Currency/CurrencyCorruptedEssenceAbyss	Essence of the Abyss
Metadata/Items/Currency/CurrencyLesserEssenceFireResist	Lesser Essence of Insulation
Metadata/Items/Currency/CurrencyEssenceFireResist	Essence of Insulation
Metadata/Items/Currency/CurrencyGreaterEssenceFireResist	Greater Essence of Insulation
Metadata/Items/Currency/CurrencyPerfectEssenceFireResist	Perfect Essence of Insulation
Metadata/Items/Currency/CurrencyLesserEssenceColdResist	Lesser Essence of Thawing
Metadata/Items/Currency/CurrencyEssenceColdResist	Essence of Thawing
Metadata/Items/Currency/CurrencyGreaterEssenceColdResist	Greater Essence of Thawing
Metadata/Items/Currency/CurrencyPerfectEssenceColdResist	Perfect Essence of Thawing
Metadata/Items/Currency/CurrencyLesserEssenceLightningResist	Lesser Essence of Grounding
Metadata/Items/Currency/CurrencyEssenceLightningResist	Essence of Grounding
Metadata/Items/Currency/CurrencyGreaterEssenceLightningResist	Greater Essence of Grounding
Metadata/Items/Currency/CurrencyPerfectEssenceLightningResist	Perfect Essence of Grounding
Metadata/Items/Currency/CurrencyLesserEssenceSpeedCaster	Lesser Essence of Alacrity
Metadata/Items/Currency/CurrencyEssenceSpeedCaster	Essence of Alacrity
Metadata/Items/Currency/CurrencyGreaterEssenceSpeedCaster	Greater Essence of Alacrity
Metadata/Items/Currency/CurrencyPerfectEssenceSpeedCaster	Perfect Essence of Alacrity
Metadata/Items/Currency/CurrencyLesserEssenceRarity	Lesser Essence of Opulence
Metadata/Items/Currency/CurrencyEssenceRarity	Essence of Opulence
Metadata/Items/Currency/CurrencyGreaterEssenceRarity	Greater Essence of Opulence
Metadata/Items/Currency/CurrencyPerfectEssenceRarity	Perfect Essence of Opulence
Metadata/Items/Currency/CurrencyLesserEssenceAlly	Lesser Essence of Command
Metadata/Items/Currency/CurrencyEssenceAlly	Essence of Command
Metadata/Items/Currency/CurrencyGreaterEssenceAlly	Greater Essence of Command
Metadata/Items/Currency/CurrencyPerfectEssenceAlly	Perfect Essence of Command
Metadata/Items/Currency/CurrencyAddAtlasMod	Simple Sextant
Metadata/Items/Currency/CurrencyAddAtlasModMid	Prime Sextant
Metadata/Items/Currency/CurrencyAddAtlasModHigh	Awakened Sextant
Metadata/Items/Currency/CurrencyAddAtlasModMaven	Elevated Sextant
Metadata/Items/Currency/CurrencySealMapLow	Apprentice Cartographer's Seal
Metadata/Items/Currency/CurrencySealMapMid	Journeyman Cartographer's Seal
Metadata/Items/Currency/CurrencySealMapHigh	Master Cartographer's Seal
Metadata/Items/Currency/CurrencyRespecShapersOrb	Unshaping Orb
Metadata/Items/Currency/CurrencyBreachShard	Breach Splinter
Metadata/Items/Currency/CurrencyBreachFireShard	Splinter of Xoph
Metadata/Items/Currency/CurrencyBreachColdShard	Splinter of Tul
Metadata/Items/Currency/CurrencyBreachLightningShard	Splinter of Esh
Metadata/Items/Currency/CurrencyBreachPhysicalShard	Splinter of Uul-Netol
Metadata/Items/Currency/CurrencyBreachChaosShard	Splinter of Chayula
Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire	Blessing of Xoph
Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold	Blessing of Tul
Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning	Blessing of Esh
Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical	Blessing of Uul-Netol
Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos	Blessing of Chayula
Metadata/Items/Currency/CurrencyLegionKaruiShard	Timeless Karui Splinter
Metadata/Items/Currency/CurrencyLegionMarakethShard	Timeless Maraketh Splinter
Metadata/Items/Currency/CurrencyLegionEternalEmpireShard	Timeless Eternal Empire Splinter
Metadata/Items/Currency/CurrencyLegionTemplarShard	Timeless Templar Splinter
Metadata/Items/Currency/CurrencyLegionVaalShard	Timeless Vaal Splinter
Metadata/Items/Currency/CurrencyAfflictionShard	Simulacrum Splinter
Metadata/Items/Currency/CurrencyRitualShard	Petition Splinter
Metadata/Items/Currency/CurrencyExpeditionShard	Runic Splinter
Metadata/Items/Currency/CurrencyRemoveMod	Orb of Annulment
Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets	Orb of Binding
Metadata/Items/Currency/CurrencyRerollMapType	Orb of Horizons
Metadata/Items/Currency/CurrencyUpgradeMapTier	Harbinger's Orb
Metadata/Items/Currency/CurrencyStrongboxQuality	Engineer's Orb
Metadata/Items/Currency/CurrencyStrongboxQualityInfused	Infused Engineer's Orb
Metadata/Items/Currency/CurrencyRerollUnique	Ancient Orb
Metadata/Items/Currency/CurrencyFractureRare	Fracturing Orb
Metadata/Items/Currency/CurrencyRemoveModShard	Annulment Shard
Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard	Binding Shard
Metadata/Items/Currency/CurrencyRerollMapTypeShard	Horizon Shard
Metadata/Items/Currency/CurrencyUpgradeMapTierShard	Harbinger's Shard
Metadata/Items/Currency/CurrencyStrongboxQualityShard	Engineer's Shard
Metadata/Items/Currency/CurrencyRerollUniqueShard	Ancient Shard
Metadata/Items/Currency/CurrencyRerollRareShard	Chaos Shard
Metadata/Items/Currency/CurrencyDuplicateShard	Mirror Shard
Metadata/Items/Currency/CurrencyAddModToRareShard	Exalted Shard
Metadata/Items/Currency/CurrencyUpgradeMagicToRareShard	Regal Shard
Metadata/Items/Currency/CurrencyFractureRareShard	Fracturing Shard
Metadata/Items/Currency/CurrencyAddEquipmentSocketShard	Artificer's Shard
Metadata/Items/Currency/Bestiary/BestiaryNet1	Simple Rope Net
Metadata/Items/Currency/Bestiary/BestiaryNet2	Reinforced Rope Net
Metadata/Items/Currency/Bestiary/BestiaryNet3	Strong Rope Net
Metadata/Items/Currency/Bestiary/BestiaryNet4	Simple Iron Net
Metadata/Items/Currency/Bestiary/BestiaryNet5	Reinforced Iron Net
Metadata/Items/Currency/Bestiary/BestiaryNet6	Strong Iron Net
Metadata/Items/Currency/Bestiary/BestiaryNet7	Simple Steel Net
Metadata/Items/Currency/Bestiary/BestiaryNet8	Reinforced Steel Net
Metadata/Items/Currency/Bestiary/BestiaryNet9	Strong Steel Net
Metadata/Items/Currency/Bestiary/BestiaryNet10	Thaumaturgical Net
Metadata/Items/Currency/Bestiary/BestiaryNet11	Necromancy Net
Metadata/Items/Currency/CurrencyIncursionVialTrap	Vial of Dominance
Metadata/Items/Currency/CurrencyIncursionVialHealing	Vial of Summoning
Metadata/Items/Currency/CurrencyIncursionVialPoison	Vial of Awakening
Metadata/Items/Currency/CurrencyIncursionVialLightning	Vial of the Ritual
Metadata/Items/Currency/CurrencyIncursionVialFire	Vial of Fate
Metadata/Items/Currency/CurrencyIncursionVialMinion	Vial of Consequence
Metadata/Items/Currency/CurrencyIncursionVialBossFlask	Vial of the Ghost
Metadata/Items/Currency/CurrencyIncursionVialBossJewel	Vial of Transcendence
Metadata/Items/Currency/CurrencyIncursionVialBossAmulet	Vial of Sacrifice
Metadata/Items/Currency/CurrencyDelveCraftingFire	Scorched Fossil
Metadata/Items/Currency/CurrencyDelveCraftingCold	Frigid Fossil
Metadata/Items/Currency/CurrencyDelveCraftingLightning	Metallic Fossil
Metadata/Items/Currency/CurrencyDelveCraftingPhysical	Jagged Fossil
Metadata/Items/Currency/CurrencyDelveCraftingChaos	Aberrant Fossil
Metadata/Items/Currency/CurrencyDelveCraftingLife	Pristine Fossil
Metadata/Items/Currency/CurrencyDelveCraftingDefences	Dense Fossil
Metadata/Items/Currency/CurrencyDelveCraftingBleedPoison	Corroded Fossil
Metadata/Items/Currency/CurrencyDelveCraftingElemental	Prismatic Fossil
Metadata/Items/Currency/CurrencyDelveCraftingCasterMods	Aetheric Fossil
Metadata/Items/Currency/CurrencyDelveCraftingAttackMods	Serrated Fossil
Metadata/Items/Currency/CurrencyDelveCraftingMana	Lucent Fossil
Metadata/Items/Currency/CurrencyDelveCraftingSpeed	Shuddering Fossil
Metadata/Items/Currency/CurrencyDelveCraftingMinionsAuras	Bound Fossil
Metadata/Items/Currency/CurrencyDelveCraftingQuality	Perfect Fossil
Metadata/Items/Currency/CurrencyDelveCraftingEnchant	Deft Fossil
Metadata/Items/Currency/CurrencyDelveCraftingSockets	Fundamental Fossil
Metadata/Items/Currency/CurrencyDelveCraftingGemLevel	Faceted Fossil
Metadata/Items/Currency/CurrencyDelveCraftingVaal	Bloodstained Fossil
Metadata/Items/Currency/CurrencyDelveCraftingAbyss	Hollow Fossil
Metadata/Items/Currency/CurrencyDelveCraftingMirror	Fractured Fossil
Metadata/Items/Currency/CurrencyDelveCraftingCorruptEssence	Glyphic Fossil
Metadata/Items/Currency/CurrencyDelveCraftingRandom	Tangled Fossil
Metadata/Items/Currency/CurrencyDelveCraftingLuckyModRolls	Sanctified Fossil
Metadata/Items/Currency/CurrencyDelveCraftingSellPrice	Gilded Fossil
Metadata/Items/Delve/DelveSocketableCurrencyUpgrade1	Primitive Alchemical Resonator
Metadata/Items/Delve/DelveSocketableCurrencyUpgrade2	Potent Alchemical Resonator
Metadata/Items/Delve/DelveSocketableCurrencyUpgrade3	Powerful Alchemical Resonator
Metadata/Items/Delve/DelveSocketableCurrencyUpgrade4	Prime Alchemical Resonator
Metadata/Items/Delve/DelveSocketableCurrencyReroll1	Primitive Chaotic Resonator
Metadata/Items/Delve/DelveSocketableCurrencyReroll2	Potent Chaotic Resonator
Metadata/Items/Delve/DelveSocketableCurrencyReroll3	Powerful Chaotic Resonator
Metadata/Items/Delve/DelveSocketableCurrencyReroll4	Prime Chaotic Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade1	Primitive Alchemical Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade2	Potent Alchemical Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade3	Powerful Alchemical Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade4	Prime Alchemical Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll1	Primitive Chaotic Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll2	Potent Chaotic Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll3	Powerful Chaotic Resonator
Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll4	Prime Chaotic Resonator
Metadata/Items/Currency/CurrencyJewelleryQualityLife	Flesh Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityMana	Neural Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityDefences	Carapace Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityPhysical	Uul-Netol's Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityFire	Xoph's Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityCold	Tul's Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityLightning	Esh's Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityChaos	Chayula's Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityAttack	Reaver Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityCaster	Sibilant Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualitySpeed	Skittering Catalyst
Metadata/Items/Currency/CurrencyJewelleryQualityAttribute	Adaptive Catalyst
Metadata/Items/Currency/CurrencyHarbingerBlessingBelt	Time-light Scroll
Metadata/Items/Currency/CurrencyHarbingerBlessingQuiver	Fragmentation Scroll
Metadata/Items/Currency/CurrencyHarbingerBlessingHelmet	Deregulation Scroll
Metadata/Items/Currency/CurrencyHarbingerBlessingSword	Electroshock Scroll
Metadata/Items/Currency/CurrencyHarbingerBlessingStaff	Haemocombustion Scroll
Metadata/Items/Currency/CurrencyHarbingerBlessingShield	Specularity Scroll
Metadata/Items/Currency/CurrencyAddGemExperience	Facetor's Lens
Metadata/Items/Currency/CurrencyRitualSplinter	Ritual Splinter
Metadata/Items/Currency/CurrencyRitualStone	Ritual Vessel
Metadata/Items/Currency/CurrencyEldritchEmber1	Lesser Eldritch Ember
Metadata/Items/Currency/CurrencyEldritchEmber2	Greater Eldritch Ember
Metadata/Items/Currency/CurrencyEldritchEmber3	Grand Eldritch Ember
Metadata/Items/Currency/CurrencyEldritchEmber4	Exceptional Eldritch Ember
Metadata/Items/Currency/CurrencyEldritchIchor1	Lesser Eldritch Ichor
Metadata/Items/Currency/CurrencyEldritchIchor2	Greater Eldritch Ichor
Metadata/Items/Currency/CurrencyEldritchIchor3	Grand Eldritch Ichor
Metadata/Items/Currency/CurrencyEldritchIchor4	Exceptional Eldritch Ichor
Metadata/Items/Currency/CurrencyConflictOrb	Orb of Conflict
Metadata/Items/Currency/CurrencySkillGemToken	Uncarved Gemstone
Metadata/Items/MicrotransactionCurrency/MicrotransactionWrapper1x1	MTX Wrapper
Metadata/Items/MicrotransactionCurrency/MicrotransactionWrapper1x2	MTX Wrapper
Metadata/Items/MicrotransactionCurrency/MicrotransactionWrapper2x1	MTX Wrapper
Metadata/Items/MicrotransactionCurrency/MicrotransactionWrapper2x2	MTX Wrapper
Metadata/Items/MicrotransactionCurrency/MicrotransactionWrapper2x3	MTX Wrapper
Metadata/Items/MicrotransactionCurrency/MicrotransactionMysteryBoxWrapper	Mystery Box
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceDuelist	Dance - Duelist
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceMarauder	Dance - Marauder
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceRanger	Dance - Ranger
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceShadow	Dance - Shadow
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceTemplar	Dance - Templar
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceWitch	Dance - Witch
Metadata/Items/MicrotransactionAnimations/MicrotransactionDanceScion	Dance - Scion
Metadata/Items/MicrotransactionCurrency/HiddenItem1x1	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x2	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x3	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x4	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x1	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x2	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x3	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x4	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem3x2	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem3x1	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem4x1	Hidden Item
Metadata/Items/MicrotransactionCurrency/GiftBox1x1	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox1x2	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox1x3	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox1x4	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox2x1	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox2x2	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox2x3	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox2x4	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox3x2	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox3x1	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/GiftBox4x1	Wrapped Gift
Metadata/Items/MicrotransactionCurrency/HiddenItem1x1Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x2Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x3Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem1x4Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x1Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x2Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x3Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem2x4Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem3x2Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem3x1Ritual	Hidden Item
Metadata/Items/MicrotransactionCurrency/HiddenItem4x1Ritual	Hidden Item
Metadata/Items/Weapons/TwoHandWeapons/TwoHandSwords/TwoHandSwordDev	Keyblade
Metadata/items/Weapons/OneHandWeapons/OneHandSwords/OneHandSwordDemigods1	Golden Blade
Metadata/Items/Weapons/TwoHandWeapon/FishingRods/FishingRod1	Fishing Rod
Metadata/Items/Rings/RingDemigods1	Golden Hoop
Metadata/Items/Belts/BeltDemigods1	Golden Obi
Metadata/Items/Armours/Shields/ShieldDemigods	Golden Flame
Metadata/Items/Armours/Helmets/HelmetWreath1	Golden Wreath
