# stat_desc_map.tsv - generated by build_stat_desc_map.py
# Format: stat_id TAB template TAB arg_index TAB group_ids
# template placeholders: {0} {1} = stat values; wiki links stripped
# arg_index: which {N} this stat fills (0=first, 1=second, ...)
# group_ids: comma-separated group (multi-stat entries share a template)
%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100	Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%	0	%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100
%_chance_for_crossbow_reload_to_be_instant	{0}% chance when you Reload a Crossbow to be immediate	0	%_chance_for_crossbow_reload_to_be_instant
%_chance_to_blind_on_critical_strike	{0}% chance to Blind Enemies on Critical Hit	0	%_chance_to_blind_on_critical_strike
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth	Critical Hits have {0}% chance to Blind Enemies while you have Cat's Stealth	0	%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth
%_chance_to_cause_bleeding_enemies_to_flee_on_hit	{0}% Chance to cause Bleeding Enemies to Flee on hit	0	%_chance_to_cause_bleeding_enemies_to_flee_on_hit
%_chance_to_create_smoke_cloud_on_mine_or_trap_creation	{0}% chance to create a Smoke Cloud when you lay a Mine or throw a Trap	0	%_chance_to_create_smoke_cloud_on_mine_or_trap_creation
%_chance_to_deal_150%_area_damage_+%_final	Hits have {0}% chance to deal 50% more Area Damage	0	%_chance_to_deal_150%_area_damage_+%_final
%_chance_to_duplicate_dropped_sentinels	{}% chance for found Sentinels to be Duplicated	0	%_chance_to_duplicate_dropped_sentinels
%_chance_to_gain_endurance_charge_each_second_while_channelling	{0}% chance to gain an Endurance Charge each second while Channelling	0	%_chance_to_gain_endurance_charge_each_second_while_channelling
%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Frenzy Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life	{0}% chance to gain a Power Charge on Hit against Enemies that are on Full Life	0	%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life
%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Power Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_power_charge_on_placing_a_totem	{0}% chance to gain a Power Charge when you Summon a Totem	0	%_chance_to_gain_power_charge_on_placing_a_totem
%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Power Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance, Frenzy or Power Charge when any\nof your Traps are Triggered by an Enemy	0	%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy
%_maximum_life_as_focus	Enemies have Maximum Concentration equal to {0}% of their Maximum Life	0	%_maximum_life_as_focus
%_maximum_life_inflicted_as_aoe_fire_damage_when_hit	Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit	0	base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit
%_number_of_raging_spirits_allowed	{0}% increased Maximum number of Summoned Raging Spirits	0	%_number_of_raging_spirits_allowed
%_of_life_regeneration_applies_to_totems	{}% of your Life Regeneration applies to your Totems aswell	0	%_of_life_regeneration_applies_to_totems
%_physical_damage_bypasses_energy_shield	Physical Damage taken bypasses Energy Shield	0	%_physical_damage_bypasses_energy_shield
active_skill_base_physical_damage_%_to_convert_to_lightning	Converts {0}% of Physical damage to Lightning damage	0	active_skill_base_physical_damage_%_to_convert_to_lightning
active_skill_base_physical_damage_%_to_gain_as_cold	Gains {0}% of Physical damage as Cold damage	0	active_skill_base_physical_damage_%_to_gain_as_cold
active_skill_base_physical_damage_%_to_gain_as_lightning	Gains {0}% of Physical damage as Lightning damage	0	active_skill_base_physical_damage_%_to_gain_as_lightning
active_skill_base_stored_corpse_cost	Requires {0} stored Corpse per Zombie raised	0	active_skill_base_stored_corpse_cost
active_skill_brands_allowed_on_enemy_+	Can have an additional Brand Attached to an Enemy	0	active_skill_brands_allowed_on_enemy_+
active_skill_can_overload	Supported Skills Electrocute Primed enemies on Hit	0	active_skill_can_overload
active_skill_cannot_manually_reload	Supported Crossbow Ammunition Skills cannot reload	0	active_skill_cannot_manually_reload
active_skill_cast_speed_+%_applies_to_attack_speed_at_%_of_original_value	Increases and Reductions to Cast Speed apply to this Skill's Attack Speed	0	active_skill_cast_speed_+%_applies_to_attack_speed_at_%_of_original_value
active_skill_cast_speed_+%_final	{0}% more Cast Speed	0	active_skill_cast_speed_+%_final
active_skill_critical_strike_chance_+%_final	{0}% more Critical Hit Chance	0	active_skill_critical_strike_chance_+%_final
active_skill_damage_+%_final	Deals {0}% more damage	0	active_skill_damage_+%_final
active_skill_display_does_intensity_stuff	This Spell gains Intensity when you Cast it, to a maximum of 3	0	active_skill_display_does_intensity_stuff
active_skill_display_suppress_physical_to_cold_damage_conversion	Converts {0}% of Physical damage to Cold damage	1	active_skill_base_physical_damage_%_to_convert_to_cold,active_skill_display_suppress_physical_to_cold_damage_conversion
active_skill_generates_%_of_life_spent_as_glory	Supported Skills gain Glory equal to {0}% of\n Life spent on other Skills	0	active_skill_generates_%_of_life_spent_as_glory
active_skill_generates_mp_%_glory_per_armour_break	Generates {0}% of Monster Power as Glory for this Skill on Fully Breaking Armour	0	active_skill_generates_mp_%_glory_per_armour_break
active_skill_generates_mp_%_glory_per_attack_hit	Generates {0}% of Monster Power as Glory for this Skill on Hitting with an Attack	0	active_skill_generates_mp_%_glory_per_attack_hit
active_skill_generates_mp_%_glory_per_heavy_stun	Generates {0}% of Monster Power as Glory for\nthis Skill on Heavy Stunning an enemy	0	active_skill_generates_mp_%_glory_per_heavy_stun
active_skill_generates_mp_%_glory_per_ignite	Generates {0}% of Monster Power as Glory for\nthis Skill on Igniting an enemy	0	active_skill_generates_mp_%_glory_per_ignite
active_skill_has_%_standard_scaling_attack_damage	Attack damage of this skill is {0}% of Default Attack Damage	0	active_skill_has_%_standard_scaling_attack_damage
active_skill_impale_magnitude_+%_final	{0}% more Impale Magnitude	0	active_skill_impale_magnitude_+%_final
active_skill_level_+	{0:+d} to Level of Skills	0	active_skill_level_+
active_skill_life_gained_on_cull	Gain {0} Life on Culling Strike	0	active_skill_life_gained_on_cull
active_skill_mana_gained_on_cull	Gain {0} Mana on Culling Strike	0	active_skill_mana_gained_on_cull
active_skill_minion_damage_+%_final	Minions deal {0}% more damage	0	active_skill_minion_damage_+%_final
active_skill_minion_physical_damage_+%_final	Minions deal {0}% of Physical damage	0	active_skill_minion_physical_damage_+%_final
active_skill_never_freeze_shock_ignite	Supported Skills Cannot inflict Freeze, Shock or Ignite	0	active_skill_never_freeze_shock_ignite
active_skill_physical_damage_+%_final	Deals {0}% more Physical damage	0	active_skill_physical_damage_+%_final
active_skill_poison_duration_+%_final	{0}% more Poison Duration	0	active_skill_poison_duration_+%_final
active_skill_poison_effect_+%_final	{0}% more Magnitude of Poison inflicted	0	active_skill_poison_effect_+%_final
active_skill_quality_damage_+%_final	{}% more damage	0	active_skill_quality_damage_+%_final
active_skill_quality_duration_+%_final	{0}% more Skill Effect Duration	0	active_skill_quality_duration_+%_final
active_skill_requires_X_glory	Supported Skills requires {0} Glory to use	0	active_skill_requires_X_glory
actor_scale_+%	{0}% increased Character Size	0	base_actor_scale_+%
adaptation_duration_+%	{0}% increased Adaptation Duration	0	adaptation_duration_+%
adaptation_duration_ms	Adaptations have a duration of {0} second	0	adaptation_duration_ms
add_%_base_armour_on_equipment_to_stun_threshold	Gain additional Stun Threshold equal to {0}% of Item Armour on Equipped Armour Items	0	add_%_base_armour_on_equipment_to_stun_threshold
add_1_stage_to_banners_on_melee_hit_up_to_5_per_second	Banners you are carrying gain 1 Stage on Melee Hit, up to 5 per second	0	add_1_stage_to_banners_on_melee_hit_up_to_5_per_second
add_X_guard_on_trigger_per_100_ms_total_use_time_of_triggered_skill_up_to_maximum_mana	DNT-UNUSED Gain {0} Guard when you Trigger a Skill for every 0.1 seconds of that Skill's base use time	0	add_X_guard_on_trigger_per_100_ms_total_use_time_of_triggered_skill_up_to_maximum_mana
add_X_ms_to_energy_shield_recharge_delay_per_combo_spent	DNT-UNUSED Expending Combo adds {0} second to remaining Energy Shield Recharge delay per Combo	0	add_X_ms_to_energy_shield_recharge_delay_per_combo_spent
add_endurance_charge_on_critical_strike	Gain an Endurance Charge on Critical Hit	0	add_endurance_charge_on_critical_strike
add_endurance_charge_on_enemy_critical_strike	Gain an Endurance Charge when you take a Critical Hit	0	add_endurance_charge_on_enemy_critical_strike
add_endurance_charge_on_gain_power_charge_%	{0}% chance to gain an Endurance Charge when you gain a Power Charge	0	add_endurance_charge_on_gain_power_charge_%
add_endurance_charge_on_kill	You gain an Endurance Charge on kill	0	add_endurance_charge_on_kill
add_endurance_charge_on_skill_hit_%	{0}% chance to gain an Endurance Charge on Hit	0	add_endurance_charge_on_skill_hit_%
add_endurance_charge_on_status_ailment	Gain an Endurance Charge when you suffer an Elemental Ailment	0	add_endurance_charge_on_status_ailment
add_frenzy_charge_every_50_rampage_stacks	Gain a Frenzy Charge on every 50th Rampage Kill	0	add_frenzy_charge_every_50_rampage_stacks
add_frenzy_charge_on_critical_strike	Gain a Frenzy Charge on Critical Hit	0	add_frenzy_charge_on_critical_strike
add_frenzy_charge_on_enemy_block	Gain a Frenzy Charge when an Enemy Blocks your Damage	0	add_frenzy_charge_on_enemy_block
add_frenzy_charge_on_kill	Gain a Frenzy Charge on kill	0	add_frenzy_charge_on_kill
add_frenzy_charge_on_kill_%_chance	{0}% chance to gain a Frenzy Charge on kill	0	add_frenzy_charge_on_kill_%_chance
add_frenzy_charge_on_kill_%_chance_while_dual_wielding	{0}% chance to gain a Frenzy Charge on kill while Dual Wielding	0	add_frenzy_charge_on_kill_%_chance_while_dual_wielding
add_frenzy_charge_on_skill_hit_%	{0}% chance to gain a Frenzy Charge on Hit	0	add_frenzy_charge_on_skill_hit_%
add_frenzy_charge_when_hit_%	{0}% chance to gain a Frenzy Charge when Hit	0	add_frenzy_charge_when_hit_%
add_power_charge_on_critical_strike	Gain a Power Charge on Critical Hit	0	add_power_charge_on_critical_strike
add_power_charge_on_critical_strike_%	Supported Skills have {0}% chance to gain a Power Charge on Critical Hit	0	add_power_charge_on_critical_strike_%
add_power_charge_on_hit_%	{0}% chance to add a Power Charge on Hit	0	add_power_charge_on_hit_%
add_power_charge_on_hit_while_poisoned_%	{0}% chance to Gain a Power Charge on Hit while Poisoned	0	add_power_charge_on_hit_while_poisoned_%
add_power_charge_on_kill_%_chance	{0}% chance to gain a Power Charge on kill	0	add_power_charge_on_kill_%_chance
add_power_charge_on_melee_critical_strike	Gain a Power Charge on Melee Critical Hit	0	add_power_charge_on_melee_critical_strike
add_power_charge_on_minion_death	Gain a Power Charge when a Minion Dies	0	add_power_charge_on_minion_death
add_power_charge_on_skill_hit_%	{0}% chance to gain a Power Charge on Hit	0	add_power_charge_on_skill_hit_%
add_power_charge_when_interrupted_while_casting	Gain a Power Charge when an Enemy Interrupts you while you're Casting a Spell	0	add_power_charge_when_interrupted_while_casting
add_power_charge_when_kill_shocked_enemy	Gain a Power Charge when you kill a Shocked enemy	0	add_power_charge_when_kill_shocked_enemy
add_x_grasping_vines_on_hit	Inflict {0} Grasping Vine on Hit	0	add_x_grasping_vines_on_hit
added_cooldown_count	{0:+d} Cooldown Use	0	base_added_cooldown_count
added_cooldown_count_if_not_instant_and_you_have_at_least_100_tribute	Non-Instant skills with Cooldowns have {0:+d} Cooldown Use if you have at least 100 Tribute	0	added_cooldown_count_if_not_instant_and_you_have_at_least_100_tribute
added_damage_+%_final	Supported Skills have {}% more Added Damage	0	added_damage_+%_final
added_thorns_cold_base_damage_%_of_maximum_mana	Gain Cold Thorns Damage equal to {0}% of your maximum Mana	0	added_thorns_cold_base_damage_%_of_maximum_mana
additional_all_attributes	{0:+d} to all Attributes	0	additional_all_attributes
additional_attack_block_%_if_used_shield_skill_recently	{0:+d}% Chance to Block Attack Damage if you've Used or Triggered a Shield Skill Recently	0	additional_attack_block_%_if_used_shield_skill_recently
additional_attack_block_%_per_endurance_charge	{0:+d}% Chance to Block Attack Damage per Endurance Charge	0	additional_attack_block_%_per_endurance_charge
additional_attack_block_%_per_frenzy_charge	{0:+d}% Chance to Block Attack Damage per Frenzy Charge	0	additional_attack_block_%_per_frenzy_charge
additional_attack_block_%_per_power_charge	{0:+d}% Chance to Block Attack Damage per Power Charge	0	additional_attack_block_%_per_power_charge
additional_attack_block_%_per_summoned_skeleton	{0:+d}% Chance to Block Attack Damage per Summoned Skeleton	0	additional_attack_block_%_per_summoned_skeleton
additional_ballista_totems_allowed	{0:+d} to maximum number of Summoned Ballista Totems	0	additional_ballista_totems_allowed
additional_base_critical_strike_chance	{0:+d}% to Critical Hit Chance	0	additional_base_critical_strike_chance
additional_beam_only_chains	Beams Chain {0} Time	0	additional_beam_only_chains
additional_block_%	{0:+d}% to Block chance	0	additional_block_%
additional_block_%_against_frontal_attacks	You have an additional {0:+d}% Chance to Block Attack Damage from in front of you	0	additional_block_%_against_frontal_attacks
additional_block_%_if_you_have_crit_recently	{0:+d}% Chance to Block Attack Damage if you've dealt a Critical Hit Recently	0	additional_block_%_if_you_have_crit_recently
additional_block_%_per_endurance_charge	{0:+d}% Chance to Block Attack Damage per Endurance Charge	0	additional_block_%_per_endurance_charge
additional_block_%_per_hit_you_have_blocked_in_past_10_seconds	{0:+d}% Chance to Block Attack Damage for each time you've Blocked in the past 10 seconds	0	additional_block_%_per_hit_you_have_blocked_in_past_10_seconds
additional_block_%_while_not_cursed	{0:+d}% Chance to Block Attack Damage while not Cursed	0	additional_block_%_while_not_cursed
additional_block_%_while_on_consecrated_ground	{0:+d}% Chance to Block Attack Damage while on Consecrated Ground	0	additional_block_%_while_on_consecrated_ground
