# unique_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	unique_name
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff6	Sire of Shards
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff13	The Unborn Lich
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaff14	The Whispering Ice
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaffUnique1	Taryn's Shiver
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaffUnique2	Taryn's Shiver
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaffUnique3	Taryn's Shiver
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow1	Widowhail
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow2	Quill Rain
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow4	Splinterheart
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow5	Doomfletch
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow6	Death's Harp
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow7	Voltaxic Rift
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow8	Slivertongue
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow9	Fairgraves' Curse
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow13	Lioneye's Glare
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow1	Mist Whisper
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow2	Rampart Raptor
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow5	Double Vision
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow13	The Last Lament
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptre1	The Dark Defiler
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptre4	Font of Power
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptre6a	Guiding Palm of the Heart
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptre6b	Guiding Palm of the Eye
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptre6c	Guiding Palm of the Mind
Metadata/Items/Weapons/OneHandWeapons/Sceptres/FourSceptreUnique1	Guiding Palm of the Mind
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman1	Amor Mandragora
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman4	Hysseg's Claw
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman8	The Flesh Poppet
Metadata/Items/Armours/BodyArmours/FourBodyStr1	Bramblejack
Metadata/Items/Armours/BodyArmours/FourBodyStr2	Blackbraid
Metadata/Items/Armours/BodyArmours/FourBodyStr3	Edyrn's Tusks
Metadata/Items/Armours/BodyArmours/FourBodyStr4	The Immortan
Metadata/Items/Armours/BodyArmours/FourBodyStr5	Titanrot Cataphract
Metadata/Items/Armours/BodyArmours/FourBodyStr6	Wandering Reliquary
Metadata/Items/Armours/BodyArmours/FourBodyStr7	Kingsguard
Metadata/Items/Armours/BodyArmours/FourBodyStr8	Greed's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStr12	The Brass Dome
Metadata/Items/Armours/BodyArmours/FourBodyStr14	Kaom's Heart
Metadata/Items/Armours/BodyArmours/FourBodyDex1	Bristleboar
Metadata/Items/Armours/BodyArmours/FourBodyDex2	Foxshade
Metadata/Items/Armours/BodyArmours/FourBodyDex3	Ashrend
Metadata/Items/Armours/BodyArmours/FourBodyDex4	Sands of Silk
Metadata/Items/Armours/BodyArmours/FourBodyDex5	Briskwrap
Metadata/Items/Armours/BodyArmours/FourBodyDex6	Dustbloom
Metadata/Items/Armours/BodyArmours/FourBodyDex7	The Rat Cage
Metadata/Items/Armours/BodyArmours/FourBodyDex8	Quatl's Molt
Metadata/Items/Armours/BodyArmours/FourBodyDex10	Queen of the Forest
Metadata/Items/Armours/BodyArmours/FourBodyDex11	Yriel's Fostering
Metadata/Items/Armours/BodyArmours/FourBodyDex15	Hyrri's Ire
Metadata/Items/Armours/BodyArmours/FourBodyInt1	Ghostwrithe
Metadata/Items/Armours/BodyArmours/FourBodyInt2	Bitterbloom
Metadata/Items/Armours/BodyArmours/FourBodyInt3	The Black Doubt
Metadata/Items/Armours/BodyArmours/FourBodyInt4	Necromantle
Metadata/Items/Armours/BodyArmours/FourBodyInt5	Cloak of Flame
Metadata/Items/Armours/BodyArmours/FourBodyInt6	Prayers for Rain
Metadata/Items/Armours/BodyArmours/FourBodyInt7	Tetzlapokal's Desire
Metadata/Items/Armours/BodyArmours/FourBodyInt8	The Covenant
Metadata/Items/Armours/BodyArmours/FourBodyInt9	Gloamgown
Metadata/Items/Armours/BodyArmours/FourBodyInt12	Vis Mortis
Metadata/Items/Armours/BodyArmours/FourBodyInt13	Cloak of Defiance
Metadata/Items/Armours/BodyArmours/FourBodyInt14	Silks of Veneration
Metadata/Items/Armours/BodyArmours/FourBodyStrDex1	Coat of Red
Metadata/Items/Armours/BodyArmours/FourBodyStrDex2	The Barrow Dweller
Metadata/Items/Armours/BodyArmours/FourBodyStrDex3	Irongrasp
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex5	Belly of the Beast
Metadata/Items/Armours/BodyArmours/FourBodyStrDex6	Doryani's Prototype
Metadata/Items/Armours/BodyArmours/FourBodyStrDex7	Widow's Reign
Metadata/Items/Armours/BodyArmours/FourBodyStrDex8	Lightning Coil
Metadata/Items/Armours/BodyArmours/FourBodyStrDex9	The Fallen Formation
Metadata/Items/Armours/BodyArmours/FourBodyStrDex11	The Coming Calamity
Metadata/Items/Armours/BodyArmours/FourBodyStrInt1	Enfolding Dawn
Metadata/Items/Armours/BodyArmours/FourBodyStrInt3	Icetomb
Metadata/Items/Armours/BodyArmours/FourBodyStrInt4	Husk of Dreams
Metadata/Items/Armours/BodyArmours/FourBodyStrInt5	Voll's Protector
Metadata/Items/Armours/BodyArmours/FourBodyStrInt6	Soul Mantle
Metadata/Items/Armours/BodyArmours/FourBodyStrInt7	The Mutable Star
Metadata/Items/Armours/BodyArmours/FourBodyStrInt8	Waveshaper
Metadata/Items/Armours/BodyArmours/FourBodyStrInt9	Couture of Crimson
Metadata/Items/Armours/BodyArmours/FourBodyStrInt12	Sacrosanctum
Metadata/Items/Armours/BodyArmours/FourBodyDexInt1	Apron of Emiran
Metadata/Items/Armours/BodyArmours/FourBodyDexInt2	Gloomform
Metadata/Items/Armours/BodyArmours/FourBodyDexInt3	Sierran Inheritance
Metadata/Items/Armours/BodyArmours/FourBodyDexInt4	The Dancing Mirage
Metadata/Items/Armours/BodyArmours/FourBodyDexInt5	Redflare Conduit
Metadata/Items/Armours/BodyArmours/FourBodyDexInt6	Zerphi's Serape
Metadata/Items/Armours/BodyArmours/FourBodyDexInt13	Cospri's Will
Metadata/Items/Armours/Helmets/FourHelmetStr2	Ezomyte Peak
Metadata/Items/Armours/Helmets/FourHelmetStr3	Black Sun Crest
Metadata/Items/Armours/Helmets/FourHelmetStr4	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetStr6	Corona of the Red Sun
Metadata/Items/Armours/Helmets/FourHelmetStr8	Blood Price
Metadata/Items/Armours/Helmets/FourHelmetDex1	Innsmouth
Metadata/Items/Armours/Helmets/FourHelmetDex2	Goldrim
Metadata/Items/Armours/Helmets/FourHelmetDex3	Radiant Grief
Metadata/Items/Armours/Helmets/FourHelmetDex5	Elevore
Metadata/Items/Armours/Helmets/FourHelmetDex6	Constricting Command
Metadata/Items/Armours/Helmets/FourHelmetDex7	The Black Insignia
Metadata/Items/Armours/Helmets/FourHelmetDex8	Starkonja's Head
Metadata/Items/Armours/Helmets/FourHelmetDex9	Heatshiver
Metadata/Items/Armours/Helmets/FourHelmetDex10	Myris Uxor
Metadata/Items/Armours/Helmets/FourHelmetDex11	Alpha's Howl
Metadata/Items/Armours/Helmets/FourHelmetInt1	Crown of Thorns
Metadata/Items/Armours/Helmets/FourHelmetInt2	The Devouring Diadem
Metadata/Items/Armours/Helmets/FourHelmetInt3	Visage of Ayah
Metadata/Items/Armours/Helmets/FourHelmetInt4	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetInt6	Atziri's Disdain
Metadata/Items/Armours/Helmets/FourHelmetInt7	Crown of Eyes
Metadata/Items/Armours/Helmets/FourHelmetInt8	Scold's Bridle
Metadata/Items/Armours/Helmets/FourHelmetInt11	Indigon
Metadata/Items/Armours/Helmets/FourHelmetStrDex1	Greymake
Metadata/Items/Armours/Helmets/FourHelmetStrDex2	Erian's Cobble
Metadata/Items/Armours/Helmets/FourHelmetStrDex3	Ironride
Metadata/Items/Armours/Helmets/FourHelmetStrDex4	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex7	The Bringer of Rain
Metadata/Items/Armours/Helmets/FourHelmetStrInt1	Crown of the Victor
Metadata/Items/Armours/Helmets/FourHelmetStrInt2	Bronzebeard
Metadata/Items/Armours/Helmets/FourHelmetStrInt3	Crown of the Pale King
Metadata/Items/Armours/Helmets/FourHelmetStrInt4	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetStrInt6	The Deepest Tower
Metadata/Items/Armours/Helmets/FourHelmetDexInt1	The Hollow Mask
Metadata/Items/Armours/Helmets/FourHelmetDexInt2	Mask of the Sanguimancer
Metadata/Items/Armours/Helmets/FourHelmetDexInt3	Leer Cast
Metadata/Items/Armours/Helmets/FourHelmetDexInt4	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5	The Vertex
Metadata/Items/Armours/Helmets/FourHelmetDexInt6	The Three Dragons
Metadata/Items/Armours/Helmets/FourHelmetDexInt8	Mind of the Council
Metadata/Items/Armours/Gloves/FourGlovesStr2	Treefingers
Metadata/Items/Armours/Gloves/FourGlovesStr3	Lochtonial Caress
Metadata/Items/Armours/Gloves/FourGlovesStr4	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesStr7	Empire's Grasp
Metadata/Items/Armours/Gloves/FourGlovesDex1	Northpaw
Metadata/Items/Armours/Gloves/FourGlovesDex2	Grip of Winter
Metadata/Items/Armours/Gloves/FourGlovesDex4	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesDex6	Maligaro's Virtuosity
Metadata/Items/Armours/Gloves/FourGlovesInt1	Painter's Servant
Metadata/Items/Armours/Gloves/FourGlovesInt2	Candlemaker
Metadata/Items/Armours/Gloves/FourGlovesInt3	Doedre's Tenure
Metadata/Items/Armours/Gloves/FourGlovesInt4	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesInt6	Nightscale
Metadata/Items/Armours/Gloves/FourGlovesInt7	Leopold's Applause
Metadata/Items/Armours/Gloves/FourGlovesStrDex1	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrDex2	Aurseize
Metadata/Items/Armours/Gloves/FourGlovesStrDex3	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrDex4	Valako's Vice
Metadata/Items/Armours/Gloves/FourGlovesStrDex5	Aerisvane's Wings
Metadata/Items/Armours/Gloves/FourGlovesStrInt1	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesStrInt2	Shackles of the Wretched
Metadata/Items/Armours/Gloves/FourGlovesStrInt3	Blueflame Bracers
Metadata/Items/Armours/Gloves/FourGlovesStrInt4	The Prisoner's Manacles
Metadata/Items/Armours/Gloves/FourGlovesDexInt1	Plaguefinger
Metadata/Items/Armours/Gloves/FourGlovesDexInt2	Killjoy
Metadata/Items/Armours/Gloves/FourGlovesDexInt5	Essentia Sanguis
Metadata/Items/Armours/Gloves/FourGlovesDexInt6	Thunderfist
Metadata/Items/Armours/Boots/FourBootsStr1	Legionstride
Metadata/Items/Armours/Boots/FourBootsStr2	Corpsewade
Metadata/Items/Armours/Boots/FourBootsStr3	The Infinite Pursuit
Metadata/Items/Armours/Boots/FourBootsStr4	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex2	Briarpatch
Metadata/Items/Armours/Boots/FourBootsDex3	Gamblesprint
Metadata/Items/Armours/Boots/FourBootsDex4	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt1	Luminous Pace
Metadata/Items/Armours/Boots/FourBootsInt2	Wanderlust
Metadata/Items/Armours/Boots/FourBootsInt3	Bones of Ullr
Metadata/Items/Armours/Boots/FourBootsInt4	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex1	The Knight-errant
Metadata/Items/Armours/Boots/FourBootsStrDex2	Darkray Vectors
Metadata/Items/Armours/Boots/FourBootsStrDex3	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsStrDex4	Shankgonne
Metadata/Items/Armours/Boots/FourBootsStrInt2	Wake of Destruction
Metadata/Items/Armours/Boots/FourBootsDexInt2	Ghostmarch
Metadata/Items/Armours/Boots/FourBootsDexInt3	Powertread
Metadata/Items/Armours/Shields/FourShieldStr1	Dionadair
Metadata/Items/Armours/Shields/FourShieldStr2	Wulfsbane
Metadata/Items/Armours/Shields/FourShieldStr3	Doomgate
Metadata/Items/Armours/Shields/FourShieldStr4	Window to Paradise
Metadata/Items/Armours/Shields/FourShieldStr5	The Wailing Wall
Metadata/Items/Armours/Shields/FourShieldStr6	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr7	Redblade Banner
Metadata/Items/Armours/Shields/FourShieldStr8	The Surrender
Metadata/Items/Armours/Shields/FourShieldStr13	Chernobog's Pillar
Metadata/Items/Armours/Shields/FourShieldStrDex1	Arvil's Wheel
Metadata/Items/Armours/Shields/FourShieldStrDex2	Merit of Service
Metadata/Items/Armours/Shields/FourShieldStrDex4	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt1	Alkem Eira
Metadata/Items/Armours/Shields/FourShieldStrInt2	Oaksworn
Metadata/Items/Armours/Shields/FourShieldStrInt3	Saffell's Frame
Metadata/Items/Armours/Shields/FourShieldStrInt4	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt5	Prism Guardian
Metadata/Items/Armours/Shields/FourShieldStrInt6	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex1	Dunkelhalt
Metadata/Items/Armours/Shields/FourShieldDex2	Nocturne
Metadata/Items/Armours/Shields/FourShieldDex3	Rondel de Ezo
Metadata/Items/Armours/Shields/FourShieldDex4	Bloodbarrier
Metadata/Items/Armours/Shields/FourShieldDex5	Kaltenhalt
Metadata/Items/Armours/Shields/FourShieldDex6	Silverthorne
Metadata/Items/Armours/Shields/FourShieldDex11	Calgyra's Arc
Metadata/Items/Armours/Shields/FourShieldDex12	Sunsplinter
Metadata/Items/Armours/Focii/FourFocus1	Deathrattle
Metadata/Items/Armours/Focii/FourFocus2	Threaded Light
Metadata/Items/Armours/Focii/FourFocus3	Effigy of Cruelty
Metadata/Items/Armours/Focii/FourFocus4	Carrion Call
Metadata/Items/Armours/Focii/FourFocus5	Serpent's Lesson
Metadata/Items/Armours/Focii/FourFocus6	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus7	Apep's Supremacy
Metadata/Items/Armours/Focii/FourFocus8	Rathpith Globe
Metadata/Items/Quivers/FourQuiver1	Asphyxia's Wrath
Metadata/Items/Quivers/FourQuiver2	Blackgleam
Metadata/Items/Quivers/FourQuiver3	The Lethal Draw
Metadata/Items/Quivers/FourQuiver5	Rearguard
Metadata/Items/Quivers/FourQuiver6	Murkshaft
Metadata/Items/Quivers/FourQuiver8	Cadiro's Gambit
Metadata/Items/Amulets/FourAmulet1	Igniferis
Metadata/Items/Amulets/FourAmulet2	Idol of Uldurn
Metadata/Items/Amulets/FourAmulet3	The Everlasting Gaze
Metadata/Items/Amulets/FourAmulet4	Ungil's Harmony
Metadata/Items/Amulets/FourAmulet5	Revered Resin
Metadata/Items/Amulets/FourAmulet6	Carnage Heart
Metadata/Items/Amulets/FourAmulet7	Surefooted Sigil
Metadata/Items/Amulets/FourAmulet8	Defiance of Destiny
Metadata/Items/Amulets/FourAmulet9	Stone of Lazhwar
Metadata/Items/Amulets/FourAmulet10	Ligurium Talisman
Metadata/Items/Rings/FourRing1	Blackheart
Metadata/Items/Rings/FourRing3	Prized Pain
Metadata/Items/Rings/FourRing4	Glowswarm
Metadata/Items/Rings/FourRing5	Doedre's Damning
Metadata/Items/Rings/FourRing6	Seed of Cataclysm
Metadata/Items/Rings/FourRing7	Cracklecreep
Metadata/Items/Rings/FourRing8	Blistering Bond
Metadata/Items/Rings/FourRing10	Polcirkeln
Metadata/Items/Rings/FourRing11	Dream Fragments
Metadata/Items/Rings/FourRing12	Blackheart
Metadata/Items/Belts/FourBelt1	Meginord's Girdle
Metadata/Items/Belts/FourBelt2	Midnight Braid
Metadata/Items/Belts/FourBelt3	Keelhaul
Metadata/Items/Belts/FourBelt4	Umbilicus Immortalis
Metadata/Items/Belts/FourBelt5	Birthright Buckle
Metadata/Items/Belts/FourBelt6	Brynabas
Metadata/Items/Belts/FourBelt8	Soul Tether
Metadata/Items/Belts/FourBelt9	Infernoclasp
Metadata/Items/Belts/FourBelt10	Goregirdle
Metadata/Items/Flasks/FourCharm1	Nascent Hope
Metadata/Items/Flasks/FourCharm2	Sanguis Heroum
Metadata/Items/Flasks/FourCharm3	Arakaali's Gift
Metadata/Items/Flasks/FourCharm4	Beira's Anguish
Metadata/Items/Flasks/FourCharm5	The Black Cat
Metadata/Items/Flasks/FourCharm6	For Utopia
Metadata/Items/Flasks/FourCharm7	The Fall of the Axe
Metadata/Items/Flasks/FourCharm8	Ngamahu's Chosen
Metadata/Items/Flasks/FourCharm9	Breath of the Mountains
Metadata/Items/Flasks/FourCharm10	Valako's Roar
Metadata/Items/Flasks/FourCharm11	Forsaken Bangle
Metadata/Items/Armours/BodyArmours/FourBodyStrDexInt1	Tabula Rasa
Metadata/Items/Armours/BodyArmours/FourBodyStrDexInt2	Atziri's Splendour
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMaceGamble	Brynhand's Mark
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMaceGamble	Hoghunt
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpearGamble	Splinter of Loratta
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaffGamble	The Blood Thorn
Metadata/Items/Weapons/OneHandWeapons/Wands/FourWandGamble	The Wicked Quill
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourStaffGamble	Dusk Vigil
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBowGamble	Widowhail
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbowGamble	Mist Whisper
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourSceptreGamble	The Dark Defiler
Metadata/Items/Weapons/OneHandWeapons/Talisman/FourTalismanGamble	Amor Mandragora
Metadata/Items/Armours/BodyArmours/FourBodyStrGamble	Bramblejack
Metadata/Items/Armours/BodyArmours/FourBodyDexGamble	Bristleboar
Metadata/Items/Armours/BodyArmours/FourBodyIntGamble	Ghostwrithe
Metadata/Items/Armours/BodyArmours/FourBodyStrDexGamble	Coat of Red
Metadata/Items/Armours/BodyArmours/FourBodyDexIntGamble	Gloomform
Metadata/Items/Armours/Helmets/FourHelmetDexGamble	Innsmouth
Metadata/Items/Armours/Helmets/FourHelmetIntGamble	Crown of Thorns
Metadata/Items/Armours/Helmets/FourHelmetStrDexGamble	Greymake
Metadata/Items/Armours/Helmets/FourHelmetStrIntGamble	Crown of the Victor
Metadata/Items/Armours/Helmets/FourHelmetDexIntGamble	The Hollow Mask
Metadata/Items/Armours/Gloves/FourGlovesDexGamble	Northpaw
Metadata/Items/Armours/Gloves/FourGlovesIntGamble	Painter's Servant
Metadata/Items/Armours/Gloves/FourGlovesStrDexGamble	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrIntGamble	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesDexIntGamble	Plaguefinger
Metadata/Items/Armours/Boots/FourBootsStrGamble	Legionstride
Metadata/Items/Armours/Boots/FourBootsIntGamble	Luminous Pace
Metadata/Items/Armours/Boots/FourBootsStrDexGamble	The Knight-errant
Metadata/Items/Armours/Shields/FourShieldStrGamble	Dionadair
Metadata/Items/Armours/Shields/FourShieldStrDexGamble	Arvil's Wheel
Metadata/Items/Armours/Shields/FourShieldStrIntGamble	Alkem Eira
Metadata/Items/Armours/Shields/FourShieldDexGamble	Dunkelhalt
Metadata/Items/Armours/Focii/FourFocusGamble	Deathrattle
Metadata/Items/Quivers/FourQuiverGamble	Asphyxia's Wrath
Metadata/Items/Amulets/FourAmuletGamble	Igniferis
Metadata/Items/Rings/FourRingGamble	Blackheart
Metadata/Items/Belts/FourBeltGamble	Meginord's Girdle
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace2Cruel	Wylund's Stake
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace3Cruel	Frostbreath
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace5Cruel	Sculpted Suffering
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace6Cruel	Seeing Stars
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace7Cruel	Nebuloch
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace2Cruel	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace3Cruel	Trephina
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace5Cruel	The Empty Roar
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace6Cruel	Shyaba
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace7Cruel	Chober Chaber
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace8Cruel	Quecholli
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff2Cruel	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff3Cruel	The Sentry
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff5Cruel	Matsya
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow2Cruel	Quill Rain
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow5Cruel	Doomfletch
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow6Cruel	Death's Harp
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow7Cruel	Voltaxic Rift
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow8Cruel	Slivertongue
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow2Cruel	Rampart Raptor
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow5Cruel	Double Vision
